model_version,source,interval_prob,Year,analyte,treatment,n_events,load_mean,load_low,load_high,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high
v1p7p5,Observed,0.95,2024,TDS,ST,23,1363783.8221200001,1065828.616558,1641799.0680855,1201750.75,980348.1517500001,1394329.24575,1134.830847511433,989.6059780232553,1250.5607489156748
v1p7p5,Observed,0.95,2025,TDS,CT,44,1332168.1347999999,1235695.652328,1447440.9738214999,2008642.38,1901681.5785,2149106.9645000002,663.2181756515563,638.7567969516854,694.7794970899452
v1p7p5,Observed,0.95,2025,TDS,MT,34,1190686.33008,1068767.4639445,1298576.555307,1833373.02,1654931.2362499998,1985393.9922499997,649.4512121052157,629.4361384842524,669.5695685097411
v1p7p5,Observed,0.95,2025,TDS,ST,44,1591490.4829,1463189.027029,1728101.9774925,2371308.14,2181254.81925,2568570.60525,671.1445282265171,651.0066341791653,691.0530238155953
v1p7p5,Observed,0.95,2013,TKN,CT,5,372.55719600000003,268.816837,496.64270200000004,84140,48014,120608,4.427825005942477,3.1842122851919568,6.740211674610642
v1p7p5,Observed,0.95,2013,TKN,MT,4,415.870051,270.076904,626.1156149999999,100647,91176,111910,4.131966685544526,2.568052107104823,6.333676748773456
v1p7p5,Observed,0.95,2013,TKN,ST,6,390.130206,236.48128300000002,541.9907765499999,109085,64552.47500000003,153351.30000000002,3.576387275977449,2.15958720393738,5.149466262265319
v1p7p5,Observed,0.95,2014,TKN,CT,6,1222.2297479,797.3473655,1678.6656743025,255791.43,164342.23625000002,351263.07525,4.778227901927754,4.221748241091574,5.5647109707492595
v1p7p5,Observed,0.95,2014,TKN,MT,1,32.1502696,32.1502696,32.1502696,6588.17,6588.17,6588.17,4.88,4.88,4.88
v1p7p5,Observed,0.95,2014,TKN,ST,6,505.9604577,239.18098229999998,884.4548326949998,108694.61,52125.5,163208.4135,4.654880841837512,2.99961727856729,6.2758045615689735
v1p7p5,Observed,0.95,2015,TKN,CT,12,316.12792589,214.43885785100002,443.257529178,264741.86,199527.6345,332128.192,1.194098756766308,0.8769662541070568,1.7621698093125269
v1p7p5,Observed,0.95,2015,TKN,MT,12,66.36010742,40.585216313000004,99.27553418,131198.49,91924.33800000002,183123.2725,0.5057993229952571,0.33799759315444006,0.7491900024671668
v1p7p5,Observed,0.95,2015,TKN,ST,12,47.66955290999999,33.878493685749994,62.41236965249999,115188.17,77577.47400000002,159851.93475,0.41384070004758294,0.2571113169112301,0.7131844839256413
v1p7p5,Observed,0.95,2016,TKN,CT,8,34.14011135,11.13404782,66.43223474774997,306451.77999999997,246738.09999999998,370598.44999999995,0.11140451313417074,0.04367861612444682,0.18518689142128225
