"Operation","Speed","Speed_MIN","Speed_Max","Surf_Disturbance","Depth","Depth_MIN","Depth_MAX","TILLAGE_TYPE","TILLAGE_TYPE_Modifier","STIR_original","Diesel_use","Burial_Coefficient","Source","Description"
"Subsoil disk ripper, coulter smooth, rlng bskt",8.8495,4.827,12.872,25,5.08,3.81,6.35,"TILLAGE_TYPE_MIXING",0.7,66.8078125,24.9858,0.1925,"USDA_MOSES_2023-02-24","Subsoil ripper with tandem disk gangs in front and leveling disks behind.  Similar to a Krause Dominator. Fuel consumption about the same as ""disk-ripper"" per grower observation.  Rec. speed from company brochure.  GGF 09/16/11."
"Subsoil disk ripper, roller smooth",6.436,4.827,12.872,100,12.7,7.62,15.24,"TILLAGE_TYPE_MIX_INV",0.8,59.15,25.9112,0.73,"USDA_MOSES_2023-02-24","Subsoil ripper with tandem disk gangs in front and leveling disks behind.  Similar to DMI ecolo-tiger TM 730B and 9300 followed by a smooth roller. 101606 DTL edited by GGF 09/01/11 modified disk, single gang disturb surface process to better model the purpose of the last disk gang of lightly covering the subsoiler opening. LOS 01282015"
"Subsoiler",7.2405,4.827,8.045,75,38.1,30.48,45.72,"TILLAGE_TYPE_LIFT",0.4,32.90625,19.4334,0.304,"USDA_MOSES_2023-02-24","Subsoiler or Vee ripper.  Shanks are not in-line but mounted on a heavy vee angled toolbar.  rev 012507 DTL"
"Subsoiler bedder (ripper/hipper)",8.045,4.827,9.654,100,17.78,10.16,20.32,"TILLAGE_TYPE_MIX_INV",0.8,45.5,19.4334,0.76,"USDA_MOSES_2023-02-24","Subsoiler Bedder 10/28/01 DTL"
"Subsoiler leveler",7.2405,4.827,8.045,85,38.1,30.48,45.72,"TILLAGE_TYPE_LIFT",0.4,37.7325,20.8215,0.304,"USDA_MOSES_2023-02-24","Subsoil ripper with smooth roller attachment 053008 DTL"
"Subsoiler ripper, 24 to 40 in. deep",7.2405,4.827,8.045,30,60.96,60.96,101.6,"TILLAGE_TYPE_LIFT",0.4,21.06,23.135,0.57,"USDA_MOSES_2023-02-24","Deep ripper 24 to 40 inch operating depth 101009 DTL"
"Subsoiler, 12 foot spacing",7.2405,5.6315,9.654,15,38.1,30.48,45.72,"TILLAGE_TYPE_LIFT",0.4,6.58125,17.30498,0.0525,"USDA_MOSES_2023-02-24","Subsoiler with a straight point or turbo point on a  12' spacing at 15 inch depth. Disturbance includes lateral fracturing zone in the soil to either side of ripper slot.  Used to prepare site for tree planting.  022505 DTL"
"Subsoiler, in row",4.827,3.218,8.045,40,38.1,30.48,45.72,"TILLAGE_TYPE_LIFT",0.4,11.7,19.4334,0.304,"USDA_MOSES_2023-02-24","In-row chisel or subsoiler shanks that disturb less than 40% of the surface but lift and fracture the soil to a depth below the plow layer.  Shank spacing varies but is typically 30"".  )-08-02 DTL"
"Subsoiler, in row strip conditioner",4.827,3.218,8.045,40,38.1,30.48,45.72,"TILLAGE_TYPE_LIFT",0.4,14.259375,24.0604,0.304,"USDA_MOSES_2023-02-24","In-row chisel or subsoiler shanks that disturb less than 40% of the surface but lift and fracture the soil to a depth below the plow layer.  Followed by multiple flutted coulters and a narrow rolling basket or firming wheel  Shank spacing varies but is typically 30"".  030509 DTL"
"Subsoiler, in row strip conditioner, 40 in row",4.827,3.218,8.045,30,38.1,30.48,45.72,"TILLAGE_TYPE_LIFT",0.4,10.7371875,24.0604,0.21,"USDA_MOSES_2023-02-24","In-row chisel or subsoiler shanks on 40 inch row spacing that disturb less than 40% of the surface but lift and fracture the soil to a depth below the plow layer.  Followed by multiple fluted coulters and a narrow rolling basket or firming wheel. Shank spacing varies but is typically 40"".  01172012 DTL"
"Subsoiler, inline heavy shanks with coulter caddy",7.2405,4.827,9.654,90,38.1,30.48,45.72,"TILLAGE_TYPE_LIFT",0.4,39.4875,25.9112,0.57,"USDA_MOSES_2023-02-24","Inline subsoiler.  Straight or fluted coulters are used to cut and size residue in front of heavy straight leg shanks mounted parallel to each other on a straight toolbar thus fracturing more of the inter-row area.     Rev 012507 DTL
"
"Subsoiler, inline with coulter caddy",7.2405,4.827,9.654,80,38.1,30.48,45.72,"TILLAGE_TYPE_LIFT",0.4,35.1,21.2842,0.304,"USDA_MOSES_2023-02-24","Inline subsoiler.  Straight or flutted coulters are used to cut and size residue in front of narrow straight leg shanks mounted parallel to each other on a straight toolbar thus fracturing more of the inter-row area.     Rev 012407 DTL
"
"Subsoiler, rlng stlk chpr, roller, mulch treader",6.436,4.827,9.654,25,5.08,3.81,6.35,"TILLAGE_TYPE_MIXING",0.7,59.9625,25.9112,0.1925,"USDA_MOSES_2023-02-24","This machine is a do-all type machine consisting of coulters, sub soil rippers, rolling stalk chopper, coulters, sub soil rippers, rolling stalk chopper, corregated roller and mulch treader devices all mounted on the same machine in this order.  090507 DTL"
"Subsoiler, wide spacing",7.2405,5.6315,9.654,25,30.48,25.4,38.1,"TILLAGE_TYPE_LIFT",0.4,8.775,19.4334,0.2,"USDA_MOSES_2023-02-24","Subsoiler with a straight point on a  48"" spacing at 10 to 12 inch depth. Used in the Palouse to increase infiltration  in the early part of the fallow year. 061604DTL"
"Subsoiler; Stalk chopper, rolling",7.2405,4.827,8.045,75,38.1,30.48,60.96,"TILLAGE_TYPE_LIFT",0.4,35.1,22.6723,0.57,"USDA_MOSES_2023-02-24","Combination tool representing a Wilcox or similar type subsoiler with stalk chopper; tmg 082407.  Based on;
Subsoiler, rev 101606 DTL and
Rolling Stalk Chopper, ground driven with double rotor gangs covering the full width of the machine to close crevices behind ripper shanks.  This record represents operation on unridged ground where the weight of the machine is distributed across 100% of the working width. 110906 DTL"
"Sweep plow 20-40 in wide",8.045,5.6315,10.4585,100,7.62,5.08,12.7,"TILLAGE_TYPE_LIFT",0.4,9.75,6.84796,0.3,"USDA_MOSES_2023-02-24","Undercutter sweeps.  Also known as blade plows or Noble blades 24"" to 40"" wide.  Run shallow to undercut stubble and weeds, thus killing weeds but leaving stubble upright.12-18-01 DTL"
"Sweep plow wider  than 40 in w/ mulch treader",6.436,4.827,12.872,100,7.62,5.08,12.7,"TILLAGE_TYPE_COMPRESSION",0.15,2.925,8.3286,0.35,"USDA_MOSES_2023-02-24","Stubble Mulch undercutter or blade plow, Sweeps or V-blades 30+"" wide with a mulch treader attachment . Run shallow to undercut stubble and weeds.  The mulch treader attachment flattens, and anchors the straw and exposes the roots. 11/08/01  DTL REV 110207 DTL"
"Sweep plow, under bed",7.2405,5.6315,8.045,100,12.7,10.16,17.78,"TILLAGE_TYPE_LIFT",0.4,14.625,6.84796,0.2,"USDA_MOSES_2023-02-24","This is a secondary operation to bedding.  The beds are undercut 100% disturbance, but the surface maintains some crusting (larger clods) over 60% of the bed.  The furrow is tilled with a shovel about 40% of the surface.  Beds are not build back.  The existing ridges (ht & width) are used.  Cloned ARS Bedder operation.  RUSLE, Sweep Plow.  MAS 1-22-07
"
"Sweep plow, wider than 40 in",6.436,4.827,12.872,100,7.62,5.08,12.7,"TILLAGE_TYPE_LIFT",0.4,7.8,7.4032,0.2,"USDA_MOSES_2023-02-24","Stubble Mulch undercutter or blade plow, Sweeps or V-blades 40+"" wide. Run shallow to undercut stubble and weeds, thus killing weeds but leaving stubble upright.  12-18-01 DTL"
"Sweep, single under row",9.654,4.827,11.263,30,10.16,5.08,15.24,"TILLAGE_TYPE_LIFT",0.4,4.68,6.84796,0.2,"USDA_MOSES_2023-02-24","Single low crown cultivator sweep run on each row to undercut and kill crops such as cotton.  Run 4 to 6 inches deep under each row lifting and fracturing a zone about a foot wide on 38 to 40 inch centers. Very little disturbance of existing surface residue cover.  062304 DTL"
"Sweep, single under row, regrow perennial",9.654,4.827,11.263,50,5.08,2.54,7.62,"TILLAGE_TYPE_LIFT",0.4,3.9,5.92256,0.2,"USDA_MOSES_2023-02-24","Single low crown cultivator sweep run on each row to undercut and kill the above ground growth of crops such as Artichoke or Asparagus  and stimulate new growth from the roots or crowns.  Run 1 to 2  inches deep under each row lifting and fracturing a zone about a foot wide on 38 to 40 inch centers. Very little disturbance of existing surface residue cover.  041608 DTL"
"Tree spade, holes left",1.609,1.609,1.609,40,91.44,60.96,121.92,"TILLAGE_TYPE_MIX_INV",0.8,18.72,23.135,0.1,"USDA_MOSES_2023-02-24","Tree spade used to dig nursery stock. Assumes bare soil condition and holes left open.  071403 DTL"
"Tree spade, holes plugged",1.609,1.609,1.609,10,91.44,60.96,121.92,"TILLAGE_TYPE_MIX_INV",0.8,4.68,23.135,0.1,"USDA_MOSES_2023-02-24","Tree spade used to dig nursery stock.  Assumes trees in sod or cover crop cover and holes plugged with plug from tree planting site.  Regrowth file requested should be permanent cover not harvested.  071403 DTL"
"Weed control, hoeing in row",1.609,1.609,1.609,15,7.62,2.54,10.16,"TILLAGE_TYPE_MIX_INV",0.8,0.585,9.254e-08,0.425,"USDA_MOSES_2023-02-24","Hoeing in the row only
Manually control weeds in small fields using hoe or similar tool that disturbs soil surface in the row only.  Weed residue is added to surface.  This operation does not kill existing crop.  User selects type of residue material added and dry weight.051711 DTL"
"Weed control, manual hoe",1.609,1.609,1.609,85,7.62,2.54,10.16,"TILLAGE_TYPE_MIX_INV",0.8,3.315,9.254e-08,0.425,"USDA_MOSES_2023-02-24","gaw 01-22-02
Manually control weeds in small fields using hoe or similar tool that disturbs soil surface.  Weeds added to surface.
This operation does not kill existing crop.  User selects type of residue material added and dry weight. rev043008DTL"
"Weeder, finger weeder",0.8045,0.40225,1.609,50,3.81,2.54,5.08,"TILLAGE_TYPE_MIX_INV",0.8,0.4875,3.2389,0.25,"USDA_MOSES_2023-02-24","Finger weeder for weed control under tree rows of growing orchard, vinyard or tree crops.  Tree Crop is not killed.  This is a device that has a set of rotating tines mounted on an arm mounted on the side of a tractor with sensors that sense the tree trunk and automatically advances and retracts the device to weed around trees.  030705 DTL"
"bedder",8,5,10,100,15,10,20,"TILLAGE_TYPE_MIX_INV",0.8,39,4.63,0.95,"SoilX","Assumed to be the same as 'Bedder, hipper, hiller 12 in high' from RUSLE2, rounded values to SI units"
"beet_lifter",5,5,10,100,30,25,36,"TILLAGE_TYPE_MIX_INV",0.8,47,17.3,0,"SoilX","Assumed to be the same as 'Harvest, dig root crops 12 in depth res. on surf' from RUSLE2, rounded values to SI units"
"broadcast_seeder",6,5,13,5,5,3,8,"TILLAGE_TYPE_MIX_INV",0.8,1,3.61,0.73,"SoilX","Assumed to be the same as 'Planter, sprig, no-till' from RUSLE2, rounded values to SI units"
"classic_drill",8,6,10,65,4,3,5,"TILLAGE_TYPE_MIX_INV",0.8,6,3.33,0.2275,"SoilX","Assumed to be the same as 'Drill or airseeder, double disk' from RUSLE2, rounded values to SI units"
