Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,NRMSE_sd,Coverage,MeanWidth,IntervalProb,CRPS,mean_abs_obs,CRPS_norm_mean
TKN,ST,Bayes,10,952976.0363253821,1311870.0084593866,1.3872054019457976,0.32846083723030023,1.1166601742371074,0.4,1014870.2724902232,0.95,837198.0999701945,945692.690224,0.8852750038407222
TKN,ST,ML,10,457898.30498214456,698654.6773745394,0.738775592321702,0.17492640184281708,0.5946929564193751,0.1,175935.68168293918,,366664.5196104054,945692.690224,0.3877205813270651
TN,CT,Bayes,5,1551130.371124344,1750421.798246282,0.6699126670944016,0.2595419941063914,0.6865454979525715,0.4,2231908.5769571466,0.95,1229341.8714436856,2612910.434786,0.4704875663081693
TN,CT,ML,5,405585.75456893776,483532.7846433399,0.18505524651974598,0.0716953269594118,0.18964986424526234,0.0,474577.0191379784,,4908983.143271165,2612910.434786,1.878741451646128
TN,MT,Bayes,5,1731161.8062840668,2235314.7095708074,3.787297982882636,1.3380602403547424,3.810678133855732,0.2,2193151.9320941684,0.95,1530074.847010409,590213.582262,2.5924087364211115
TN,MT,ML,5,383056.15899967944,451933.5187696176,0.7657118242477197,0.2705275772400511,0.7704387979724464,0.2,345515.46098071826,,957230.3781652391,590213.582262,1.621837258466068
TN,ST,Bayes,5,1837241.071465797,2460959.412777406,2.653468822689176,1.5260550997193914,4.185350243951498,0.4,2614151.862685127,0.95,1511491.1437906397,927449.9069800001,1.6297280666213212
TN,ST,ML,5,277580.70726218994,322695.99716895533,0.34793900429590985,0.20010564562011363,0.5488086327067843,0.2,268476.94558568613,,941942.0366097658,927449.9069800001,1.015625781533534
TP,CT,Bayes,12,401665.2079923733,530683.8487388135,0.7486597396481879,0.14190807742580933,0.5202759898114995,0.75,1257341.9583236508,0.95,287073.4889459464,708845.1811075,0.40498757217679415
TP,CT,ML,12,247240.15011482988,372944.898091964,0.5261302581041388,0.09972772602703145,0.36563064140933216,0.08333333333333333,58417.69844079091,,388655.7152502203,708845.1811075,0.5482942193991986
TP,MT,Bayes,11,352303.0188083361,633897.9286704581,1.1664881166197423,0.20368107818974654,0.6923422509972269,0.9090909090909091,1082190.0569985555,0.95,275693.14236427436,543424.2489390909,0.507325800978703
TP,MT,ML,11,899598.246515643,2434652.665410895,4.480206155989517,0.7822910558305814,2.6591235442311563,0.0,58277.730416395534,,296683.2151326366,543424.2489390909,0.5459513735572923
TP,ST,Bayes,12,292341.63611429447,544598.3495215327,0.5890101003807608,0.09203392579931602,0.31819892371925007,0.9166666666666666,1077972.5359023476,0.95,231598.55986062673,924599.3390766666,0.25048531842117494
TP,ST,ML,12,279171.9702782506,734266.7244002868,0.7941458460629531,0.12408676833070517,0.42901871008662057,0.0,12979.610803736621,,634063.5261799049,924599.3390766666,0.6857711220225404
TSP,CT,ML,3,50518.2431420683,73381.80361860193,1.709736554357245,0.8781330052850242,2.150299291157492,0.0,273.34735141296795,,85978.7501052048,42919.947773,2.0032351986991968
TSP,MT,ML,3,18234.08938727678,25941.51841292838,6.314688192845555,3.5841881084218907,8.75796267192819,0.3333333333333333,280.8442082446733,,19393.80587368597,4108.123413333334,4.720843052266004
TSP,ST,ML,3,18650.25015965175,29579.89626162055,6.806701439127559,2.6027985960265556,5.687799964325724,0.3333333333333333,131.9246999859412,,29168.276712585328,4345.70203,6.711982669595349
TSS,CT,Bayes,12,769393007.8495537,1066186096.9102365,0.9004603412537501,0.22996053934389238,0.7889074359015902,0.4166666666666667,1022721828.3043436,0.95,643354614.8346273,1184045590.975988,0.5433529078084919
TSS,CT,ML,12,240449286.53451326,368301711.21503264,0.3110536570736672,0.07943722057315288,0.2725189903290228,0.08333333333333333,58827228.87704451,,866889636.1663042,1184045590.975988,0.732142109031243
TSS,MT,Bayes,11,425446109.9956497,654639328.6091539,0.9858328886275803,0.20249907203611073,0.6345562121700409,0.6363636363636364,884500436.9233638,0.95,342977596.8788227,664046955.7883233,0.5164960006053441
TSS,MT,ML,11,674953706.1892223,1692495053.1210387,2.548758093637811,0.52353817240232,1.6405724543112956,0.0,45151762.82655745,,548309882.3721505,664046955.7883233,0.8257095038124593
TSS,ST,Bayes,12,442151065.0773943,781841713.459561,0.685216011166454,0.15837837841413865,0.44441008804064686,0.5833333333333334,882643069.0267509,0.95,367603969.2227724,1141014951.0788858,0.32217278912531755
TSS,ST,ML,12,182272963.21226677,427983368.4574933,0.3750900617496851,0.08669697551002381,0.24327190936706763,0.08333333333333333,27525260.593385786,,1009863341.03787,1141014951.0788858,0.8850570626467205
