Method,Scenario,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws,PointCumulativeLoad_kg,primary_center,primary_center_type,primary_center_within_draw_interval
ML,full_record_model_only,NO3,CT,17.434708904616205,16.4511789357854,12.047733456525943,27.87411337189435,2000,10.888830786665785,10.888830786665785,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,NO3,MT,13.204893441294269,12.49867642199748,9.151777824423974,21.363409585609435,2000,8.296586400871739,8.296586400871739,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,NO3,ST,13.58764127517349,12.802980560246347,9.413868654348308,22.171480690761886,2000,8.460933456507604,8.460933456507604,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,OP,CT,0.786393994747065,0.709234785156018,0.47871423465715085,1.442762106316643,2000,0.3189062934131194,0.3189062934131194,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,OP,MT,0.7445201237393991,0.6660440249383434,0.45461188561009575,1.446628050246723,2000,0.327671473321304,0.327671473321304,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,OP,ST,0.7215618458877566,0.6570896973265221,0.4385538640742647,1.3331532667619428,2000,0.3189016124258362,0.3189016124258362,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,Se,CT,1.2942739050810537,1.1805021358556396,0.8229801081688397,2.3505070925859886,2000,0.6584851662711607,0.6584851662711607,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,Se,MT,1.0801604709176547,0.9848095100598463,0.6758366791575027,1.9587045126045097,2000,0.569408104305315,0.569408104305315,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,Se,ST,0.9969068706166159,0.9065023268671628,0.6251592937329902,1.832586382728514,2000,0.5059318553131671,0.5059318553131671,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,TDS,CT,802.7463151339693,685.9619557315706,502.59041496785835,1674.6059603464537,2000,533.5030027628945,533.5030027628945,mean_of_replicate_annual_plot_totals,True
ML,full_record_model_only,TDS,MT,911.6957789471518,764.1747029399444,559.5523203966719,1893.0477217130108,2000,614.2111520050972,614.2111520050972,mean_of_replicate_annual_plot_totals,True
ML,full_record_model_only,TDS,ST,975.2487741985474,839.0021987935969,619.2871993765385,1952.2678732986158,2000,645.8588082952881,645.8588082952881,mean_of_replicate_annual_plot_totals,True
ML,full_record_model_only,TKN,CT,8.698982908280572,8.021831646751345,5.895719130486972,16.222323754183495,2000,5.278392307426052,5.278392307426052,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,TKN,MT,6.979891481929646,6.307507156249792,4.528950070403903,14.314162557868714,2000,4.270957489161987,4.270957489161987,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,TKN,ST,6.663169740505851,5.951061471860831,4.340949826322632,13.30975861673694,2000,3.949934192955303,3.949934192955303,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,TN,CT,11.961954563555958,11.277297860986746,8.426455809382729,19.28259183014808,2000,7.396316436733197,7.396316436733197,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,TN,MT,7.392652035242907,7.060377539559688,5.210914411227619,11.343504728327325,2000,4.6232734350515345,4.6232734350515345,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,TN,ST,7.399777055312395,7.089412668452454,5.2659118877977455,11.209894080923439,2000,4.619227968761029,4.619227968761029,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,TP,CT,2.9190246496566856,2.7385526358136145,1.996971851094177,5.136772703762024,2000,1.6954793294569228,1.6954793294569228,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,TP,MT,2.99562104664395,2.631548426602376,1.905360001864349,7.024535312249335,2000,1.8036907874998942,1.8036907874998942,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,TP,ST,2.922534379621452,2.6707566953549744,1.9222755926172264,6.029349579128747,2000,1.7610182229275302,1.7610182229275302,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,TSS,CT,3550.086849136148,3318.106997334445,2437.1169991573097,6427.287897875769,2000,2239.124399699793,2239.124399699793,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,TSS,MT,2216.337107828394,1981.1232662625462,1427.3694752789781,5208.722085924467,2000,1431.698481149168,1431.698481149168,mean_of_replicate_annual_plot_totals,True
ML,full_record_model_only,TSS,ST,2380.4029671865464,2150.8805314234596,1592.6982294192826,4575.294406625404,2000,1525.6611382474898,1525.6611382474898,mean_of_replicate_annual_plot_totals,False
