Method,Scenario,Year,Analyte,Treatment,PointTotal_kg,primary_center_type,primary_center_within_draw_interval,Central_95_interval_kg
ML,full_record_model_only,2012,TSS,MT,103.40963658095956,mean_of_replicate_annual_plot_totals,True,"103.4 (81.55, 474.4)"
ML,full_record_model_only,2012,TSS,ST,84.84771063263688,mean_of_replicate_annual_plot_totals,True,"84.85 (68.91, 391.5)"
ML,full_record_model_only,2013,TN,CT,0.3086281826554585,mean_of_replicate_annual_plot_totals,True,"0.3086 (0.2339, 1.616)"
ML,full_record_model_only,2013,TN,MT,0.3753833037924499,mean_of_replicate_annual_plot_totals,True,"0.3754 (0.2903, 1.868)"
ML,full_record_model_only,2013,TN,ST,0.2872566187322706,mean_of_replicate_annual_plot_totals,True,"0.2873 (0.2211, 1.44)"
ML,full_record_model_only,2013,TP,CT,0.06826696120467565,mean_of_replicate_annual_plot_totals,True,"0.06827 (0.04816, 0.4742)"
ML,full_record_model_only,2013,TP,MT,0.075619001548801,mean_of_replicate_annual_plot_totals,True,"0.07562 (0.05537, 0.4666)"
ML,full_record_model_only,2013,TP,ST,0.05478772163512345,mean_of_replicate_annual_plot_totals,True,"0.05479 (0.03814, 0.376)"
ML,full_record_model_only,2013,TSS,CT,95.37165357525198,mean_of_replicate_annual_plot_totals,True,"95.37 (69.91, 532.9)"
ML,full_record_model_only,2013,TSS,MT,101.79751304113303,mean_of_replicate_annual_plot_totals,True,"101.8 (78.48, 513.3)"
ML,full_record_model_only,2013,TSS,ST,65.14217305582974,mean_of_replicate_annual_plot_totals,True,"65.14 (50.37, 335.2)"
ML,full_record_model_only,2014,TN,CT,0.4022362009131205,mean_of_replicate_annual_plot_totals,True,"0.4022 (0.3049, 2.093)"
ML,full_record_model_only,2014,TN,MT,0.22908165600899338,mean_of_replicate_annual_plot_totals,True,"0.2291 (0.1506, 1.602)"
ML,full_record_model_only,2014,TN,ST,0.2606724808484821,mean_of_replicate_annual_plot_totals,True,"0.2607 (0.1877, 1.441)"
ML,full_record_model_only,2014,TP,CT,0.08991616869095931,mean_of_replicate_annual_plot_totals,True,"0.08992 (0.06359, 0.507)"
ML,full_record_model_only,2014,TP,MT,0.054538820840717456,mean_of_replicate_annual_plot_totals,True,"0.05454 (0.03309, 0.4078)"
ML,full_record_model_only,2014,TP,ST,0.053197636916710055,mean_of_replicate_annual_plot_totals,True,"0.0532 (0.03708, 0.3293)"
ML,full_record_model_only,2014,TSS,CT,74.2530244920963,mean_of_replicate_annual_plot_totals,True,"74.25 (53.68, 448.2)"
ML,full_record_model_only,2014,TSS,MT,27.753374792819876,mean_of_replicate_annual_plot_totals,True,"27.75 (17.34, 217.5)"
ML,full_record_model_only,2014,TSS,ST,30.749968895292216,mean_of_replicate_annual_plot_totals,True,"30.75 (22.26, 171.8)"
ML,full_record_model_only,2015,TN,CT,1.1028478702630633,mean_of_replicate_annual_plot_totals,True,"1.103 (0.8494, 5.426)"
ML,full_record_model_only,2015,TN,MT,0.3672143938479119,mean_of_replicate_annual_plot_totals,True,"0.3672 (0.2844, 2.136)"
ML,full_record_model_only,2015,TN,ST,0.38320095832249923,mean_of_replicate_annual_plot_totals,True,"0.3832 (0.2908, 1.945)"
ML,full_record_model_only,2015,TP,CT,0.1161325049260161,mean_of_replicate_annual_plot_totals,True,"0.1161 (0.08811, 0.7016)"
ML,full_record_model_only,2015,TP,MT,0.01704349255083755,mean_of_replicate_annual_plot_totals,True,"0.01704 (0.01233, 0.1384)"
ML,full_record_model_only,2015,TP,ST,0.01594431498166445,mean_of_replicate_annual_plot_totals,True,"0.01594 (0.01186, 0.1316)"
ML,full_record_model_only,2015,TSS,CT,162.12960876303924,mean_of_replicate_annual_plot_totals,True,"162.1 (120.2, 836)"
ML,full_record_model_only,2015,TSS,MT,11.55965890580886,mean_of_replicate_annual_plot_totals,True,"11.56 (8.501, 64.55)"
ML,full_record_model_only,2015,TSS,ST,5.366251858502913,mean_of_replicate_annual_plot_totals,True,"5.366 (3.56, 32.26)"
ML,full_record_model_only,2016,TN,CT,0.34753242823520336,mean_of_replicate_annual_plot_totals,True,"0.3475 (0.1759, 2.667)"
ML,full_record_model_only,2016,TN,MT,0.0441843924328357,mean_of_replicate_annual_plot_totals,True,"0.04418 (0.02441, 0.3457)"
ML,full_record_model_only,2016,TN,ST,0.10923612661799625,mean_of_replicate_annual_plot_totals,True,"0.1092 (0.05786, 0.8217)"
ML,full_record_model_only,2016,TP,CT,0.0051958343741815,mean_of_replicate_annual_plot_totals,True,"0.005196 (0.001772, 0.1302)"
ML,full_record_model_only,2016,TP,MT,0.00027843689215010663,mean_of_replicate_annual_plot_totals,True,"0.0002784 (0.0001358, 0.01848)"
ML,full_record_model_only,2016,TP,ST,0.000483062473974888,mean_of_replicate_annual_plot_totals,True,"0.0004831 (0.0001677, 0.03092)"
ML,full_record_model_only,2016,TSS,CT,57.10206340096813,mean_of_replicate_annual_plot_totals,True,"57.1 (28.55, 445.1)"
ML,full_record_model_only,2016,TSS,MT,2.86638764027885,mean_of_replicate_annual_plot_totals,True,"2.866 (1.568, 25.27)"
ML,full_record_model_only,2016,TSS,ST,9.43562207035713,mean_of_replicate_annual_plot_totals,True,"9.436 (5.25, 73.54)"
ML,full_record_model_only,2017,TN,CT,1.1849992287012932,mean_of_replicate_annual_plot_totals,True,"1.185 (0.8895, 5.75)"
ML,full_record_model_only,2017,TN,MT,0.191865004578732,mean_of_replicate_annual_plot_totals,True,"0.1919 (0.1403, 1.05)"
ML,full_record_model_only,2017,TN,ST,0.13842297866038664,mean_of_replicate_annual_plot_totals,True,"0.1384 (0.1108, 0.7854)"
ML,full_record_model_only,2017,TP,CT,0.07621335569603996,mean_of_replicate_annual_plot_totals,True,"0.07621 (0.05535, 0.5212)"
ML,full_record_model_only,2017,TP,MT,0.0195621551705433,mean_of_replicate_annual_plot_totals,True,"0.01956 (0.01453, 0.1606)"
ML,full_record_model_only,2017,TP,ST,0.01173334665346205,mean_of_replicate_annual_plot_totals,True,"0.01173 (0.009245, 0.1096)"
ML,full_record_model_only,2017,TSS,CT,619.4157812387341,mean_of_replicate_annual_plot_totals,True,"619.4 (457.6, 3858)"
ML,full_record_model_only,2017,TSS,MT,31.65777081541922,mean_of_replicate_annual_plot_totals,True,"31.66 (22.58, 186.8)"
ML,full_record_model_only,2017,TSS,ST,33.24131763041656,mean_of_replicate_annual_plot_totals,True,"33.24 (24.46, 215.8)"
