model_version,source,interval_prob,interval_type,Year,analyte,treatment,n_events,n_rows,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high,load_mean,load_low,load_high
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,TN,ST,10,10,106259.33937140861,68656.21759579857,142762.11205472093,5.88875184021213,3.249367435757132,8.253774787240136,626.8455080894911,291.9125271112183,989.6911517323999
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2015,TN,CT,12,12,167237.88968380616,123595.29345629163,213293.9329038577,9.082415295112096,6.579159981175794,11.415928572196714,1520.4945387475627,989.5744812708224,2124.8779353334494
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2015,TN,MT,12,12,122825.75942610118,78776.12739067139,163235.12927808135,8.712181025269505,6.325884854141386,11.244690715506849,1071.1256425919419,616.0926897849579,1554.580209366457
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2015,TN,ST,12,12,120736.33823896911,77809.67815074172,159478.59535869583,8.73954158830674,6.219838969006396,11.22989002422953,1056.8341548479943,580.9661033911681,1544.428510059372
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2016,TN,CT,4,4,54112.056932422616,30050.693028198286,79424.58014825925,5.062027360203104,2.58702742649223,7.350072116672036,274.779805015662,110.37549924452861,469.30091115152504
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2016,TN,MT,4,4,30716.955783358528,9693.919429301124,51270.76448205554,4.445006707429176,1.812830806074352,6.8803178468450055,137.2653630146374,32.580313313380415,283.27237754836585
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2016,TN,ST,4,4,37594.50277492942,16997.29732639044,58392.36591972651,4.594399420248835,2.016580585880037,6.9838526093260125,173.33822919151112,52.9152981687798,328.64175412986407
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2017,TN,CT,12,12,222584.8779290495,172005.1683700611,271669.2227710728,6.025593123888333,0.13012699198242927,13.659116392050787,1343.3912461305329,26.458011372613512,3083.45866716718
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2017,TN,MT,12,12,140595.58007993773,102534.10430517694,177154.34857940496,5.140584409532455,0,12.205401932243168,725.6210784597852,0,1805.0401221190461
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2017,TN,ST,12,12,134367.03125826217,93217.43080411112,174795.1384201066,4.913480316009668,0,12.277172012144312,665.3008121145314,0,1701.5909794432055
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2018,TN,CT,10,10,195184.58254943683,100558.62656465429,300793.3542041449,6.680301774853544,0.7467014614687777,12.908096853832546,1324.0320255313534,134.83492981677733,3017.108868895377
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2018,TN,MT,10,10,182910.06469350934,95643.0701905461,281566.4976569713,6.5395098953708555,0.6224283548306588,12.987118784477646,1210.328144807125,102.94680799736497,2762.700744375951
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2018,TN,ST,10,10,182710.2876195573,96802.50334790425,281786.719877522,6.503958421929059,0.6597703674929711,12.918715229060195,1206.6261852640323,96.3672688728444,2753.525553435115
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2019,TN,CT,2,2,45521.5029891098,27700.601655031387,64760.54735511522,8.277715566145627,0.4892096135005418,16.044262930271543,382.23976681554444,22.49227776078567,853.2817657046483
