Year,Treatment,Analyte,mean,median,low,high,n_draws
2013,ST,TKN,268607.97167543776,246971.39937673847,94101.36446426669,557720.7299152289,2000
2013,ST,TSS,56557051.518531635,52892986.72938043,22207465.005634014,115390272.27161415,2000
2013,ST,TotalP,104554.25479425743,95995.44038620441,31472.014897476834,222650.32114268537,2000
2014,CT,Nitrate,2275707.7162411665,2198520.4367548316,1293321.918668179,3615061.588765737,2000
2014,CT,OrthoP,270849.8474980207,264926.1176215871,120170.37194001155,459412.84598371846,2000
2014,CT,TKN,347637.0476542402,323178.21800604055,133953.9668452419,672390.0709916922,2000
2014,CT,TSP,82287.12514579225,74000.8676545202,16262.996205389383,196891.88490664132,2000
2014,CT,TSS,117926616.64018603,114813621.84146097,68956006.2087949,181112376.77092117,2000
2014,CT,TotalN,2376017.757442851,2315657.655852506,1428553.529152242,3598943.2068864754,2000
2014,CT,TotalP,571300.8162179452,560390.9779234971,308064.0114952833,933720.040383584,2000
2014,MT,Nitrate,85143.03588811298,60597.56940377957,10412.398924475932,294911.8222351668,2000
2014,MT,OrthoP,17643.62338143788,9636.655957146964,0.0,82991.08893742424,2000
2014,MT,TKN,84383.39629362553,60050.73517465644,10720.324228633659,303839.8665181024,2000
2014,MT,TSP,25459.670385721667,15911.965605311416,376.17391606845587,107323.68986047141,2000
2014,MT,TSS,6543767.178218743,4859306.790740019,1059276.2012998832,21858516.512852482,2000
2014,MT,TotalN,161045.95751284828,113700.94446457074,23009.55597598265,562475.6806442594,2000
2014,MT,TotalP,35389.30598048192,22878.051166755886,2616.782603702419,134936.44472980432,2000
2014,ST,Nitrate,1626563.4530999993,1570620.530156694,931520.2589482765,2591547.7269674917,2000
2014,ST,OrthoP,187000.1811055717,180192.86861417757,79242.7921680626,336516.9831002547,2000
2014,ST,TKN,292926.3040025595,276987.1628560857,114685.85437592921,560966.5519754144,2000
2014,ST,TSP,71490.1754755801,64575.61531961335,12322.059068219054,169095.800042114,2000
2014,ST,TSS,85492067.78386573,83434128.06514165,47257938.21788426,138271907.47206628,2000
2014,ST,TotalN,1910512.5539559396,1862718.1124385488,1109275.362676447,2954476.300023705,2000
2014,ST,TotalP,371305.23732938216,360321.94597462995,192301.5803566107,617298.0555851148,2000
2015,CT,Ammonium(NH4),312550.1376997983,294584.5981392138,109099.25388093892,623830.8564086751,2000
2015,CT,Nitrate,6192009.624131549,6012612.945299771,3134385.2059346237,10387286.283742988,2000
2015,CT,OrthoP,199553.31986799734,186612.65098157234,57990.53808763634,418051.86913571454,2000
2015,CT,TKN,1528568.4698994283,1467718.8310935413,730284.417789166,2644784.6774708647,2000
2015,CT,TSP,120726.85124583653,107583.69415910344,17826.70229042951,295296.6312329098,2000
2015,CT,TSS,593872187.7214981,584978599.9489238,309744289.82140756,960246250.756188,2000
2015,CT,TotalN,9824854.411280477,9549076.624683306,4989459.306134681,16369632.212229796,2000
2015,CT,TotalP,469945.48704894364,446934.4074468926,193753.09225185853,858128.2480165826,2000
2015,MT,Ammonium(NH4),61262.51137225564,55227.45539563839,12598.884034571134,139192.72478273127,2000
2015,MT,Nitrate,2272023.0344522074,2213354.4691697666,1070628.4501311772,3752098.2817613236,2000
2015,MT,OrthoP,71745.71578093625,66633.78403073049,18873.97773749494,156990.7255772239,2000
2015,MT,TKN,259997.24100934993,246931.7217429665,106318.54459767543,482676.87144310406,2000
2015,MT,TSP,20078.920999139453,15728.864952949334,547.5429570042502,61198.923988697374,2000
2015,MT,TSS,70580980.17518319,68340032.37472057,33407283.01816018,116810299.92208709,2000
2015,MT,TotalN,2521750.264268484,2431036.8200065414,1154114.533634611,4328820.893556512,2000
2015,MT,TotalP,115638.50692415264,107934.34792544841,33787.93458210014,240637.3164653006,2000
2015,ST,Ammonium(NH4),67971.36719892775,60448.746526488736,13903.779010242917,163581.31541999345,2000
2015,ST,Nitrate,2479381.1455940832,2410298.801445533,1097604.1992270988,4308063.840040399,2000
2015,ST,OrthoP,85066.1459965599,76854.37036913111,20877.285250583067,190922.1894788568,2000
2015,ST,TKN,292420.136389,275758.8335747284,118946.2997633436,556604.1585278913,2000
2015,ST,TSP,29038.26078178924,23380.43042097739,2185.231312948881,81463.28610222918,2000
2015,ST,TSS,89340142.27218477,85844840.73914447,42408437.90100857,150136152.7095763,2000
2015,ST,TotalN,2634099.5351448837,2549373.0259723137,1161874.3656420344,4659704.969027692,2000
2015,ST,TotalP,204438.4135214217,190070.02653734916,76972.3678593235,417239.1386695442,2000
2016,CT,Ammonium(NH4),74803.95613326861,59282.564801238485,7852.907574059112,224674.37401326207,2000
2016,CT,NPOC,752298.3830527767,649079.1333159929,135922.32330792263,1954861.652018308,2000
2016,CT,Nitrate,1133613.2306300928,1013611.8994382285,203642.07466802897,2735587.5059156953,2000
2016,CT,OrthoP,54424.24800905589,39764.02625723557,3274.049147032517,174767.94213306325,2000
2016,CT,TKN,209819.31575129784,173627.0527635006,33625.6147385989,542888.498934187,2000
2016,CT,TSP,52792.556904149154,40021.38716419513,3094.1897290021097,172270.46676875537,2000
2016,CT,TSS,42306997.352246284,36669133.087839484,8014611.431080814,106016936.58800343,2000
2016,CT,TotalN,1597583.8621028895,1410539.0152453762,289966.2010924265,3826514.389134219,2000
2016,CT,TotalP,124060.61954967966,99001.82859624644,15137.64955104608,359797.57002332003,2000
2016,MT,Ammonium(NH4),32829.31399867444,26398.640555183963,2341.8080894499235,100834.27761735306,2000
2016,MT,NPOC,354150.5724731047,319716.2922766458,62411.97935673745,826235.6026961391,2000
2016,MT,Nitrate,696661.3957301764,639066.4359120406,125322.95617605957,1665874.7660567465,2000
2016,MT,OrthoP,32220.136974375975,24985.39438554049,2240.793947897397,101912.30954435458,2000
2016,MT,TKN,93816.67971445608,78185.69996947075,13799.966335798137,249736.0898098714,2000
2016,MT,TSP,26481.973544089953,19805.930766618243,1455.1739028581887,86349.2152928123,2000
2016,MT,TSS,10452621.902780566,9653196.572300758,1909198.3663468594,23936328.066760484,2000
2016,MT,TotalN,786029.59953661,708520.7356555364,142278.10375778037,1906543.2161912597,2000
2016,MT,TotalP,57374.03805428044,46228.55127206886,6870.235535144745,162971.29748335746,2000
2016,ST,Ammonium(NH4),35941.40835914935,27702.194068328186,3263.27769774567,114397.49525647837,2000
2016,ST,NPOC,382533.7714006692,340361.934651953,70673.40716342846,951597.2853440067,2000
2016,ST,Nitrate,729734.5256602113,658628.6627935879,131348.40315842518,1772726.6334637397,2000
2016,ST,OrthoP,33030.4346201705,24851.004231046674,2196.280754487145,103598.76789650625,2000
2016,ST,TKN,93736.53718858017,77377.34018459581,13502.921549922106,252686.94979500092,2000
2016,ST,TSP,27407.813620485253,20857.485779493523,1593.300362376517,92951.65011998895,2000
2016,ST,TSS,10658263.400749609,9479455.435503952,1939100.4745011644,25360343.71687527,2000
2016,ST,TotalN,809670.3083363421,728304.3796781225,151936.17657546798,1940596.1834366918,2000
2016,ST,TotalP,61958.384781281224,48830.35696922287,6672.581438687645,182884.30179579413,2000
2017,CT,Nitrate,3988314.8715497404,3958373.9666688973,2799101.5703830933,5341162.452273627,2000
2017,CT,OrthoP,182726.7312497556,179080.0131682834,81634.39887555684,305564.814688882,2000
2017,CT,TKN,877306.5012795336,870541.3041080439,571577.0151501361,1211028.1259987159,2000
2017,CT,TSS,358293575.1110615,356055743.92190945,266296799.2499092,458570584.32007897,2000
2017,CT,TotalP,416560.322061362,411970.29001187417,243519.40851676682,625159.338033413,2000
2017,MT,Nitrate,1686907.2465080817,1673996.1953542363,1107271.5062600258,2369028.6912229187,2000
2017,MT,OrthoP,86321.86058874837,84663.64297531843,30906.726354818613,151974.88646048133,2000
2017,MT,TKN,313578.9284187183,308328.73178993154,183008.6628883253,478029.9602950052,2000
2017,MT,TSS,51746788.518880695,51297636.41900881,37266735.53147704,68091366.30514702,2000
2017,MT,TotalP,136149.97273131344,132967.75884252271,66804.42358105032,224829.33267658373,2000
2017,ST,Nitrate,2289739.249140758,2251908.7283163625,1587312.5506273748,3136213.516964139,2000
2017,ST,OrthoP,122674.1052574051,118531.22212416731,55240.909402882746,212566.87974292404,2000
2017,ST,TKN,459805.5303218811,452896.8791539578,293968.93977417814,663894.7722612722,2000
2017,ST,TSS,60097343.76332914,59435031.14154445,43281783.10177584,79862477.52580504,2000
2017,ST,TotalP,186086.36109652187,181594.27878668116,100410.28483735363,294605.9689651132,2000
2020,CT,Nitrate,261738.8605735148,223131.6552812628,73109.34762219626,623452.1971092678,2000
2020,CT,OrthoP,11578.055486999403,7219.0769385176645,0.0,47830.86170239058,2000
2020,CT,Selenium,22474.33777523689,17325.147822855695,0.0,72870.94069175373,2000
2020,CT,TKN,93834.76495563138,79083.56173365367,20626.293747723386,242482.15688894378,2000
2020,CT,TSS,6135342.265201893,5363068.949370987,1767564.589903811,14361661.994133037,2000
2020,CT,TotalP,42930.90862856574,34835.747177833546,2752.784092355387,127735.71426375645,2000
2020,ST,Nitrate,651293.2679577548,639935.3508786244,384942.512068705,992648.6247582802,2000
2020,ST,OrthoP,26840.944571945798,25662.990891749185,6824.123711798103,55840.791911243294,2000
2020,ST,Selenium,24477.223105667264,23109.09917393385,5085.74889183035,52043.69435921801,2000
2020,ST,TKN,80290.39429286431,76997.69675840627,35099.659751009225,142532.44742314098,2000
2020,ST,TSS,15124945.386224203,13938233.345543565,7089348.340291987,29230835.487503797,2000
2020,ST,TotalP,83009.59147265078,79998.10268332396,34895.82542174788,149376.98075869444,2000
2021,CT,Nitrate,3984738.3759310977,3853858.467410896,1799217.2664983205,6785245.582966138,2000
2021,CT,OrthoP,104434.00688439849,93497.01652003813,14856.745822136307,253907.6157765378,2000
2021,CT,Selenium,111414.56025258098,100185.05691528057,14102.08720694437,279397.620791213,2000
2021,CT,TKN,679423.9561449044,639875.8497801792,253374.33914906761,1307565.6842467596,2000
2021,CT,TSS,387359864.60955954,370490848.95838964,180313826.30584133,688259457.4801682,2000
2021,CT,TotalP,370289.523114407,347627.5736030418,122411.00065321334,741636.0874316421,2000
2021,MT,Nitrate,3164072.7094244785,3051659.2879325636,1454743.454831922,5415169.304619216,2000
2021,MT,OrthoP,110272.09906472133,99364.8143998103,20602.571044361106,260202.36164190609,2000
2021,MT,Selenium,86742.70820699005,80140.96133487741,13802.9493785106,204041.8713400314,2000
2021,MT,TKN,431879.22006725613,409730.6584997354,158548.78179716057,844689.0152642872,2000
2021,MT,TSS,130891809.58519134,125968067.77386606,60119527.177665226,225996935.11816323,2000
2021,MT,TotalP,294035.66752634913,276133.28588153527,94010.64119053305,588919.839660411,2000
2021,ST,Nitrate,4001987.4411907094,3899318.3343940154,2001350.385160007,6462222.677437366,2000
2021,ST,OrthoP,137414.33352983103,128663.91675931241,30150.50038819991,299534.2113986878,2000
2021,ST,Selenium,106750.5670342914,99841.8341697102,19893.307058654926,239570.3805538616,2000
2021,ST,TKN,476674.54891690204,450384.82011512335,183493.0287491004,909967.9753602706,2000
2021,ST,TSS,157676363.02315122,151763377.07204384,76769739.8086308,264727514.0259877,2000
2021,ST,TotalP,336731.8085380229,317993.10058248497,115944.08577556601,643039.8430635441,2000
2023,CT,Nitrate,4401502.118859662,4336409.445418361,3079046.7744630394,5968482.672741541,2000
2023,CT,Nitrite,378171.34685411246,370338.5922796193,199242.80070026623,600495.0740483373,2000
2023,CT,OrthoP,449563.4682800281,443926.19575271104,240050.85216857353,696882.133370984,2000
2023,CT,TDS,612907370.2253879,608171712.4075413,419941124.31939405,838768742.8932426,2000
2023,CT,TKN,1587163.8510556521,1564044.7519691917,1040329.1666030174,2265091.3162140097,2000
2023,CT,TSS,771610517.9484382,756930034.3523307,516325728.62312734,1093787700.8344545,2000
2023,CT,TotalP,1521852.2612581162,1505317.4731193816,1005471.7271600324,2129309.709594429,2000
2023,MT,Nitrate,4613445.295162302,4553715.274367418,3206934.254993605,6325152.258281618,2000
2023,MT,Nitrite,408425.80307700014,397188.78417090536,224768.72141100568,637653.0095156584,2000
2023,MT,OrthoP,479132.6328967993,473353.3452475724,270796.6246362215,733113.4380100315,2000
2023,MT,TDS,632269154.8096027,627262276.0301249,446625153.8404789,841201866.218157,2000
2023,MT,TKN,1718352.4306562971,1681052.310359894,1096178.9216392327,2524595.8116564373,2000
2023,MT,TSS,730833274.1809881,724378608.5771421,517460286.6788628,996765089.584735,2000
2023,MT,TotalP,1611178.9667454732,1598588.1260565694,1071153.9274568073,2267720.818754749,2000
2023,ST,Nitrate,4001173.8261222076,3949374.467205636,2796969.648132277,5404980.60605925,2000
2023,ST,Nitrite,367142.67672220385,357351.39212348603,191664.1320031291,585284.1842482965,2000
2023,ST,OrthoP,435889.5638934706,425518.69277744397,240468.5098527355,682155.2433025839,2000
2023,ST,TDS,561291685.207523,554452307.8648933,381170602.4570323,777035422.7059926,2000
2023,ST,TKN,1534955.4231754702,1510024.084919731,990122.8291253336,2203254.6590094613,2000
2023,ST,TSS,647254181.8157014,635839034.4245782,442796662.96281576,896882125.0178717,2000
2023,ST,TotalP,1427944.561960941,1412380.3562972029,947600.59795493,2014681.146200123,2000
2024,CT,Nitrate,1033819.5983437714,1009942.1308717432,566943.3296560943,1664633.5294028916,2000
2024,CT,Nitrite,84145.51396665066,77401.93746999813,27653.62029988452,177511.71249602124,2000
2024,CT,OrthoP,110702.72628655791,103385.98742026357,36845.72951211793,225318.99273011772,2000
2024,CT,TDS,113701392.35823344,110953552.44840321,61971359.155809,180553999.56000593,2000
2024,CT,TKN,388476.8792713516,373759.3237763896,185473.06285838207,669126.2464599189,2000
2024,CT,TSS,137478905.88247064,134020515.34462419,73175085.24928825,214741533.72163108,2000
2024,CT,TotalP,366974.4416104,353204.6252365184,170578.9772029406,627674.4129353398,2000
2024,MT,Nitrate,1189935.8740492396,1149957.613258718,578617.8230117878,2003369.884525345,2000
2024,MT,Nitrite,90068.78874439772,83970.77229578345,24991.597486114286,194360.7606517134,2000
2024,MT,OrthoP,114483.59544721709,107032.3199873403,34498.00626147791,233257.464120929,2000
2024,MT,TDS,122006642.40827183,119111426.37113592,63607228.572108805,201413182.1230255,2000
2024,MT,TKN,478521.287234162,463579.9073377288,221265.2660466242,813567.1022556472,2000
2024,MT,TSS,158829471.70501283,154767146.1616011,85998481.74588837,255127989.44293723,2000
2024,MT,TotalP,384562.94176905,368214.4075094359,179185.88828857522,660544.0064802609,2000
2024,ST,Nitrate,1868139.233508701,1829305.2485867096,1074239.2019787815,2859958.6755569777,2000
2024,ST,Nitrite,135247.90053812834,129943.24977012699,53512.486738101295,250646.60062313857,2000
2024,ST,OrthoP,167440.66648992168,162276.04918444378,69982.81484267303,305470.7381550686,2000
2024,ST,TDS,185482489.47315097,181998109.25470626,111260200.91861872,274742463.1041419,2000
2024,ST,TKN,676715.1171267822,658656.9127915885,387290.56161721033,1092018.7064258272,2000
2024,ST,TSS,266934245.27018845,262659681.970784,161549285.24022108,399190379.71959203,2000
2024,ST,TotalP,580753.2224186907,564663.1506611491,320633.4983276038,954654.0034258623,2000
2025,CT,Nitrate,5677871.739573657,5629006.921958026,3882872.394930138,7778246.234820827,2000
2025,CT,Nitrite,626109.3396932253,610780.2880543547,335887.1951167925,1006338.9041759463,2000
2025,CT,OrthoP,813249.79764768,802030.66254216,448894.1758160446,1257007.837140088,2000
2025,CT,TDS,1360180254.2584224,1345971562.9188356,967522140.4249285,1827826364.0541196,2000
2025,CT,TKN,2352222.384563506,2308932.185406484,1506845.1521142358,3397571.700102585,2000
2025,CT,TSS,1414181314.9889126,1399143969.5487506,981228479.7376996,1964967976.204475,2000
2025,CT,TotalP,1597173.9876706502,1575852.0591917816,1004183.1256587635,2327648.9416765454,2000
2025,MT,Nitrate,4145085.8149402426,4107741.3624378555,2667639.9587825276,5837544.758754032,2000
2025,MT,Nitrite,394203.1223983183,385894.259499668,186294.82754617376,660368.6828129067,2000
2025,MT,OrthoP,482430.23344413994,469185.3899129493,230902.09558582396,821882.6137931042,2000
2025,MT,TDS,632961659.7290089,624918512.8325918,425036155.4257507,884621498.7685292,2000
2025,MT,TKN,1519116.0471324264,1479566.2531194715,870133.2718443435,2331920.770460566,2000
2025,MT,TSS,546121455.3072321,540011335.4361119,372844289.53668743,759956805.1279098,2000
2025,MT,TotalP,899728.806598253,878927.6080630119,507545.857434525,1415030.0650296768,2000
2025,ST,Nitrate,6745139.5470318,6685497.762270801,4562036.546467786,9298008.1830212,2000
2025,ST,Nitrite,605360.096929532,596108.8312141474,312585.6517528989,960993.6732300902,2000
2025,ST,OrthoP,781471.3546484802,770369.640836176,414824.00282685785,1249189.8014942824,2000
2025,ST,TDS,893506068.1207942,886502294.1087922,628590810.4984672,1186675151.583063,2000
2025,ST,TKN,2525326.502244442,2477605.398669543,1624837.2988297865,3683718.4996087574,2000
2025,ST,TSS,848330956.3579284,840605337.1167454,594906479.389157,1142215602.33954,2000
2025,ST,TotalP,1548449.780360967,1512605.7097649733,949807.3948666619,2361790.9171620207,2000
