Year,Treatment,Analyte,AnnualLoad_kg,n_replicate_plots,n_physical_events,AnnualLoad_mg,central_estimate_type
2015,ST,ICP,0.002784239749088332,2,12,2784.2397490883322,mean_of_replicate_annual_plot_totals
2015,ST,NH4,0.003260637603713168,2,12,3260.6376037131677,mean_of_replicate_annual_plot_totals
2015,ST,NO2,0.0145542453724774,2,12,14554.2453724774,mean_of_replicate_annual_plot_totals
2015,ST,NO3,0.38733685057465306,2,12,387336.8505746531,mean_of_replicate_annual_plot_totals
2015,ST,NOx,0.07796423336997643,2,12,77964.23336997643,mean_of_replicate_annual_plot_totals
2015,ST,NPOC,0.07055784804944468,2,12,70557.84804944467,mean_of_replicate_annual_plot_totals
2015,ST,OP,0.005090181852050833,2,12,5090.181852050832,mean_of_replicate_annual_plot_totals
2015,ST,Se,0.003926891732229724,2,12,3926.891732229724,mean_of_replicate_annual_plot_totals
2015,ST,TDS,0.03198837332924122,2,12,31988.373329241218,mean_of_replicate_annual_plot_totals
2015,ST,TKN,0.0233738398120378,2,12,23373.839812037797,mean_of_replicate_annual_plot_totals
2015,ST,TN,0.3770643931153327,2,12,377064.3931153327,mean_of_replicate_annual_plot_totals
2015,ST,TP,0.015155485342509756,2,12,15155.485342509757,mean_of_replicate_annual_plot_totals
2015,ST,TSP,0.00040047772490105915,2,12,400.47772490105916,mean_of_replicate_annual_plot_totals
2015,ST,TSS,6.245351500887572,2,12,6245351.500887572,mean_of_replicate_annual_plot_totals
2016,CT,ICP,0.0006248580969717944,2,4,624.8580969717943,mean_of_replicate_annual_plot_totals
2016,CT,NH4,0.01239485796,2,4,12394.85796,mean_of_replicate_annual_plot_totals
2016,CT,NO2,0.027231812875941286,2,4,27231.812875941287,mean_of_replicate_annual_plot_totals
2016,CT,NO3,0.3808875214525,2,4,380887.52145249996,mean_of_replicate_annual_plot_totals
2016,CT,NOx,0.08672928141422986,2,4,86729.28141422986,mean_of_replicate_annual_plot_totals
2016,CT,NPOC,0.46656942715374994,2,4,466569.4271537499,mean_of_replicate_annual_plot_totals
2016,CT,OP,0.00459329958,2,4,4593.29958,mean_of_replicate_annual_plot_totals
2016,CT,Se,0.0011533595146409979,2,4,1153.3595146409978,mean_of_replicate_annual_plot_totals
2016,CT,TDS,0.053701484093603355,2,4,53701.48409360336,mean_of_replicate_annual_plot_totals
2016,CT,TKN,0.0085350278375,2,4,8535.0278375,mean_of_replicate_annual_plot_totals
2016,CT,TN,0.3610840529375,2,4,361084.0529375,mean_of_replicate_annual_plot_totals
2016,CT,TP,0.0011269856399999999,2,4,1126.9856399999999,mean_of_replicate_annual_plot_totals
2016,CT,TSP,0.00043578741225,2,4,435.78741225,mean_of_replicate_annual_plot_totals
2016,CT,TSS,82.95691160259499,2,4,82956911.60259499,mean_of_replicate_annual_plot_totals
2016,MT,ICP,3.5485125910257032e-06,2,4,3.548512591025703,mean_of_replicate_annual_plot_totals
2016,MT,NH4,0.0008836050749999999,2,4,883.6050749999999,mean_of_replicate_annual_plot_totals
2016,MT,NO2,0.003537052534180349,2,4,3537.052534180349,mean_of_replicate_annual_plot_totals
2016,MT,NO3,0.051649666275,2,4,51649.666274999996,mean_of_replicate_annual_plot_totals
2016,MT,NOx,0.01000560519005226,2,4,10005.60519005226,mean_of_replicate_annual_plot_totals
2016,MT,NPOC,0.06892605857975,2,4,68926.05857975,mean_of_replicate_annual_plot_totals
2016,MT,OP,0.0003336142975,2,4,333.61429749999996,mean_of_replicate_annual_plot_totals
2016,MT,Se,2.4385004256723146e-05,2,4,24.385004256723146,mean_of_replicate_annual_plot_totals
2016,MT,TDS,0.005963405703144206,2,4,5963.405703144206,mean_of_replicate_annual_plot_totals
2016,MT,TKN,0.0011778485324999998,2,4,1177.8485325,mean_of_replicate_annual_plot_totals
2016,MT,TN,0.04931923184,2,4,49319.23184,mean_of_replicate_annual_plot_totals
2016,MT,TP,0.00057426982,2,4,574.26982,mean_of_replicate_annual_plot_totals
2016,MT,TSP,8.571321e-05,2,4,85.71321,mean_of_replicate_annual_plot_totals
2016,MT,TSS,2.5024198047875,2,4,2502419.8047875,mean_of_replicate_annual_plot_totals
2016,ST,ICP,0.0003099551443774729,2,4,309.9551443774729,mean_of_replicate_annual_plot_totals
2016,ST,NH4,0.00282118089,2,4,2821.18089,mean_of_replicate_annual_plot_totals
2016,ST,NO2,0.014363287323956949,2,4,14363.287323956949,mean_of_replicate_annual_plot_totals
2016,ST,NO3,0.1975167563175,2,4,197516.7563175,mean_of_replicate_annual_plot_totals
2016,ST,NOx,0.03688614182450899,2,4,36886.141824508995,mean_of_replicate_annual_plot_totals
2016,ST,NPOC,0.23257604020425,2,4,232576.04020425,mean_of_replicate_annual_plot_totals
2016,ST,OP,0.0012477197625000002,2,4,1247.7197625000001,mean_of_replicate_annual_plot_totals
2016,ST,Se,0.00046854298133968943,2,4,468.54298133968945,mean_of_replicate_annual_plot_totals
2016,ST,TDS,0.020297637505745057,2,4,20297.637505745057,mean_of_replicate_annual_plot_totals
2016,ST,TKN,0.0041976126825,2,4,4197.6126825,mean_of_replicate_annual_plot_totals
2016,ST,TN,0.18818089729499998,2,4,188180.89729499997,mean_of_replicate_annual_plot_totals
2016,ST,TP,0.0003753248775,2,4,375.32487749999996,mean_of_replicate_annual_plot_totals
2016,ST,TSP,0.0002557464975,2,4,255.74649750000003,mean_of_replicate_annual_plot_totals
2016,ST,TSS,14.5520708179425,2,4,14552070.8179425,mean_of_replicate_annual_plot_totals
2017,CT,ICP,0.22894019462218346,2,12,228940.19462218345,mean_of_replicate_annual_plot_totals
2017,CT,NH4,0.2107851018058352,2,12,210785.1018058352,mean_of_replicate_annual_plot_totals
2017,CT,NO2,0.13947085039499665,2,12,139470.85039499664,mean_of_replicate_annual_plot_totals
2017,CT,NO3,2.6716606926707724,2,12,2671660.6926707723,mean_of_replicate_annual_plot_totals
2017,CT,NOx,1.19539672303342,2,12,1195396.72303342,mean_of_replicate_annual_plot_totals
2017,CT,NPOC,1.4025136675482845,2,12,1402513.6675482846,mean_of_replicate_annual_plot_totals
2017,CT,OP,0.011753335183495944,2,12,11753.335183495945,mean_of_replicate_annual_plot_totals
2017,CT,Se,0.08170553584927112,2,12,81705.53584927112,mean_of_replicate_annual_plot_totals
2017,CT,TDS,0.8859877987131509,2,12,885987.7987131509,mean_of_replicate_annual_plot_totals
2017,CT,TKN,1.3913704239373794,2,12,1391370.4239373794,mean_of_replicate_annual_plot_totals
2017,CT,TN,1.399913624705468,2,12,1399913.624705468,mean_of_replicate_annual_plot_totals
2017,CT,TP,0.08768304819464987,2,12,87683.04819464986,mean_of_replicate_annual_plot_totals
2017,CT,TSP,0.20949787472838452,2,12,209497.87472838452,mean_of_replicate_annual_plot_totals
2017,CT,TSS,1081.45395114026,2,12,1081453951.14026,mean_of_replicate_annual_plot_totals
2017,MT,ICP,0.023598991814373457,2,12,23598.991814373458,mean_of_replicate_annual_plot_totals
2017,MT,NH4,0.020957767147692784,2,12,20957.767147692783,mean_of_replicate_annual_plot_totals
2017,MT,NO2,0.035119137400404773,2,12,35119.137400404776,mean_of_replicate_annual_plot_totals
2017,MT,NO3,0.9170386221416782,2,12,917038.6221416782,mean_of_replicate_annual_plot_totals
2017,MT,NOx,0.16674930754285955,2,12,166749.30754285955,mean_of_replicate_annual_plot_totals
2017,MT,NPOC,0.1945538646447435,2,12,194553.8646447435,mean_of_replicate_annual_plot_totals
2017,MT,OP,0.004232411105953399,2,12,4232.411105953399,mean_of_replicate_annual_plot_totals
2017,MT,Se,0.007533091050553367,2,12,7533.091050553367,mean_of_replicate_annual_plot_totals
2017,MT,TDS,0.11469560745884383,2,12,114695.60745884384,mean_of_replicate_annual_plot_totals
2017,MT,TKN,0.17258284031204468,2,12,172582.8403120447,mean_of_replicate_annual_plot_totals
2017,MT,TN,0.1867353838118458,2,12,186735.3838118458,mean_of_replicate_annual_plot_totals
2017,MT,TP,0.022085125118797733,2,12,22085.125118797732,mean_of_replicate_annual_plot_totals
2017,MT,TSP,0.02058383307273469,2,12,20583.833072734687,mean_of_replicate_annual_plot_totals
2017,MT,TSS,52.61224878055751,2,12,52612248.780557506,mean_of_replicate_annual_plot_totals
2017,ST,ICP,0.012406570953484691,2,12,12406.57095348469,mean_of_replicate_annual_plot_totals
