Date,Year,Irrigation,Rep,Treatment,PlantDate,HarvestDate,PreviousHarvestDate,SeasonYear,Crop,previous_crop,Season_STIR_PostHarvest,Season_STIR_StartDate,Season_STIR_LeftCensored,Season_STIR_BoundaryDayCarryover,Season_STIR_CalendarLegacy,Season_STIR_PlantLegacy,PostHarvest_minus_CalendarLegacy,PostHarvest_minus_PlantLegacy
2013-07-31,2013,4,2,MT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,74.83124999999998,2012-11-01,False,0.0,44.11874999999998,17.875,30.712500000000006,56.95624999999998
2013-07-31,2013,4,2,ST,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,79.70624999999998,2012-11-01,False,0.0,44.118750000000006,17.875,35.58749999999998,61.83124999999998
2013-08-08,2013,5,1,CT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,187.60624999999993,2012-11-01,False,0.0,54.518749999999955,17.875,133.08749999999998,169.73124999999993
2013-08-08,2013,5,1,MT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,74.83124999999998,2012-11-01,False,0.0,44.11874999999998,17.875,30.712500000000006,56.95624999999998
2013-08-08,2013,5,1,ST,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,79.70624999999998,2012-11-01,False,0.0,44.118750000000006,17.875,35.58749999999998,61.83124999999998
2013-08-09,2013,5,2,CT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,187.60624999999993,2012-11-01,False,0.0,54.518749999999955,17.875,133.08749999999998,169.73124999999993
2013-08-09,2013,5,2,MT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,74.83124999999998,2012-11-01,False,0.0,44.11874999999998,17.875,30.712500000000006,56.95624999999998
2013-08-09,2013,5,2,ST,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,79.70624999999998,2012-11-01,False,0.0,44.118750000000006,17.875,35.58749999999998,61.83124999999998
2013-08-19,2013,6,1,CT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,187.60624999999993,2012-11-01,False,0.0,54.518749999999955,17.875,133.08749999999998,169.73124999999993
2013-08-19,2013,6,1,MT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,74.83124999999998,2012-11-01,False,0.0,44.11874999999998,17.875,30.712500000000006,56.95624999999998
2013-08-19,2013,6,1,ST,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,79.70624999999998,2012-11-01,False,0.0,44.118750000000006,17.875,35.58749999999998,61.83124999999998
2013-08-20,2013,6,2,CT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,187.60624999999993,2012-11-01,False,0.0,54.518749999999955,17.875,133.08749999999998,169.73124999999993
2013-08-20,2013,6,2,MT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,74.83124999999998,2012-11-01,False,0.0,44.11874999999998,17.875,30.712500000000006,56.95624999999998
2013-08-20,2013,6,2,ST,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,79.70624999999998,2012-11-01,False,0.0,44.118750000000006,17.875,35.58749999999998,61.83124999999998
2013-08-28,2013,7,1,CT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,187.60624999999993,2012-11-01,False,0.0,54.518749999999955,17.875,133.08749999999998,169.73124999999993
2013-08-28,2013,7,1,MT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,74.83124999999998,2012-11-01,False,0.0,44.11874999999998,17.875,30.712500000000006,56.95624999999998
2013-08-28,2013,7,1,ST,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,79.70624999999998,2012-11-01,False,0.0,44.118750000000006,17.875,35.58749999999998,61.83124999999998
2013-08-29,2013,7,2,CT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,187.60624999999993,2012-11-01,False,0.0,54.518749999999955,17.875,133.08749999999998,169.73124999999993
2013-08-29,2013,7,2,MT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,74.83124999999998,2012-11-01,False,0.0,44.11874999999998,17.875,30.712500000000006,56.95624999999998
2013-08-29,2013,7,2,ST,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,79.70624999999998,2012-11-01,False,0.0,44.118750000000006,17.875,35.58749999999998,61.83124999999998
2014-07-01,2014,1,1,CT,2014-05-06,2014-12-02,2013-09-30,2014,grain corn,silage corn,186.745,2013-09-30,False,0.0,76.71624999999995,17.875,110.02875000000006,168.87
