Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,NRMSE_sd,Coverage,MeanWidth,IntervalProb,CRPS,mean_abs_obs,CRPS_norm_mean
NO2,ST,Bayes,3,226516.09746726023,384126.89591034845,0.5856589120707584,0.19737075451015304,0.4186868978194864,0.0,127168.51111558235,0.95,1136914.3316053024,655888.4155833333,1.7333959627784472
NO2,ST,ML,3,205789.52182583426,307592.06497271673,0.46897011391663446,0.15804589210324438,0.33526620720506334,0.0,234695.461390392,,551460.8457459906,655888.4155833333,0.840784549084516
NO3,CT,Bayes,12,3130675.109328696,4009190.1366147855,1.2962687041210166,0.36954365534464645,1.1135784606529053,0.16666666666666666,1659368.2427127017,0.95,2886429.186036674,3092869.652618333,0.9332527750056027
NO3,CT,ML,12,2253288.5641173604,3084567.33128565,0.9973156575397043,0.2843173428842303,0.8567585032157206,0.0,1636668.8038634944,,2418147.6256723027,3092869.652618333,0.7818459544925114
NO3,MT,Bayes,11,3033289.028639469,3544029.9357648683,1.4196268655371085,0.24652666485178293,0.8849379119777365,0.0,1206052.0963211106,0.95,2851230.475967171,2496451.7239,1.1421132035803718
NO3,MT,ML,11,1834686.3887886626,3011329.8444739766,1.20624397245288,0.20947145390480162,0.7519236555968651,0.0,1590124.9608179496,,1930843.7329408266,2496451.7239,0.7734352378841234
NO3,ST,Bayes,12,2787711.237351969,3276971.285563233,1.2316799838004782,0.2986456467485193,0.9782738710963859,0.16666666666666666,1236549.3734878672,0.95,2613301.9207795053,2660570.3824558333,0.9822337112417613
NO3,ST,ML,12,969421.0077922889,1265150.428067045,0.47551849648843003,0.11529904747374327,0.3776852156858839,0.0,913956.1663807662,,2122218.1247157133,2660570.3824558333,0.7976553218474923
NPOC,CT,ML,1,871317.8087000008,871317.8087000008,0.8757315835285803,,,0.0,0.0,,191830.5411114694,994959.8999150001,0.19280228391903795
NPOC,MT,ML,1,130497.28749999998,130497.28749999998,0.8986986529140677,,,0.0,0.0,,110119.4780261319,145206.946819,0.7583623265861755
