Method,Scenario,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws
ML,observed_plus_imputed_sensitivity,TKN,CT,60.55053064860851,56.0586154456902,30.809871016111693,112.41392936615651,2000
ML,observed_plus_imputed_sensitivity,TKN,MT,52.84321606900989,47.664291823598234,23.263112735072163,108.65678920655122,2000
ML,observed_plus_imputed_sensitivity,TKN,ST,44.25134564439961,38.27492836689391,16.228576679626624,100.95312058441442,2000
ML,observed_plus_imputed_sensitivity,TN,CT,53.6977496352031,52.651614678133,33.462945808908735,80.5093626611472,2000
ML,observed_plus_imputed_sensitivity,TN,MT,40.18896017256924,39.139912356394134,23.557588973365274,62.13087794820288,2000
ML,observed_plus_imputed_sensitivity,TN,ST,30.422050267031,29.53371233952366,17.660764615237287,47.648472928910834,2000
ML,observed_plus_imputed_sensitivity,TP,CT,13.724218152954002,13.355767540877785,7.949238767469464,21.49072386742359,2000
ML,observed_plus_imputed_sensitivity,TP,MT,14.324486271411253,13.810140390663637,8.85743772501455,22.22652094578216,2000
ML,observed_plus_imputed_sensitivity,TP,ST,10.0258997832904,9.688384796154127,6.098045877868084,15.771104100737732,2000
ML,observed_plus_imputed_sensitivity,TSS,CT,18926.94597714881,18408.675580259744,11602.381338249776,28754.716122836257,2000
ML,observed_plus_imputed_sensitivity,TSS,MT,10363.51800297392,10065.636355761582,6632.49256942057,15768.925175353743,2000
ML,observed_plus_imputed_sensitivity,TSS,ST,8444.510109322147,8051.238964436137,5171.865200264571,13604.782717002276,2000
