Method,Scenario,Year,Analyte,Treatment,Median_95_interval_kg
Bayes,model_only,2019,TN,CT,"0.7364 (0.02689, 1.568)"
Bayes,model_only,2019,TN,MT,"0.7281 (0.02653, 1.561)"
Bayes,model_only,2019,TN,ST,"0.7364 (0.02689, 1.568)"
Bayes,model_only,2019,TP,CT,"0.06565 (-0.1051, 0.3172)"
Bayes,model_only,2019,TP,MT,"0.07021 (-0.1012, 0.3205)"
Bayes,model_only,2019,TP,ST,"0.06565 (-0.1051, 0.3172)"
Bayes,model_only,2019,TSS,CT,"168.9 (20.18, 349.4)"
Bayes,model_only,2019,TSS,MT,"156.8 (13.44, 341.7)"
Bayes,model_only,2019,TSS,ST,"168.9 (20.18, 349.4)"
Bayes,model_only,2020,NH4,CT,"0.04729 (0.003781, 0.09926)"
Bayes,model_only,2020,NH4,MT,"0.032 (-5.121e-05, 0.06506)"
Bayes,model_only,2020,NH4,ST,"0.03522 (0.003301, 0.07011)"
Bayes,model_only,2020,NO2,CT,"0.1625 (-0.4444, 0.9245)"
Bayes,model_only,2020,NO2,MT,"0.1271 (-0.3192, 0.6746)"
Bayes,model_only,2020,NO2,ST,"0.1314 (-0.3237, 0.6808)"
Bayes,model_only,2020,NO3,CT,"3.896 (3.004, 4.725)"
Bayes,model_only,2020,NO3,MT,"3.019 (2.583, 3.477)"
Bayes,model_only,2020,NO3,ST,"3.018 (2.537, 3.497)"
Bayes,model_only,2020,OP,CT,"0.03356 (-0.04663, 0.09833)"
Bayes,model_only,2020,OP,MT,"0.05682 (-0.0013, 0.1007)"
Bayes,model_only,2020,OP,ST,"0.05249 (-0.00839, 0.09646)"
Bayes,model_only,2020,Se,CT,"0.003428 (0.002602, 0.004205)"
Bayes,model_only,2020,Se,MT,"0.002377 (0.002011, 0.002794)"
Bayes,model_only,2020,Se,ST,"0.002422 (0.002039, 0.002858)"
Bayes,model_only,2020,TDS,CT,"476.2 (313.1, 650.4)"
Bayes,model_only,2020,TDS,MT,"356.4 (253.6, 472.6)"
Bayes,model_only,2020,TDS,ST,"362.4 (258.5, 484.8)"
Bayes,model_only,2020,TKN,CT,"0.6085 (0.05314, 1.178)"
Bayes,model_only,2020,TKN,MT,"0.5226 (0.1479, 0.8889)"
Bayes,model_only,2020,TKN,ST,"0.4938 (0.1173, 0.8924)"
Bayes,model_only,2020,TN,CT,"3.449 (0.4734, 6.47)"
Bayes,model_only,2020,TN,MT,"2.282 (0.2036, 4.306)"
Bayes,model_only,2020,TN,ST,"2.341 (0.2319, 4.436)"
Bayes,model_only,2020,TP,CT,"-0.01864 (-0.461, 0.3798)"
Bayes,model_only,2020,TP,MT,"0.3321 (0.0362, 0.5925)"
Bayes,model_only,2020,TP,ST,"0.2681 (-0.01942, 0.5485)"
Bayes,model_only,2020,TSS,CT,"55.77 (-343.4, 432.1)"
Bayes,model_only,2020,TSS,MT,"333.8 (102.4, 575.7)"
Bayes,model_only,2020,TSS,ST,"330 (92.17, 577)"
Bayes,model_only,2021,NH4,CT,"0.02927 (-0.006816, 0.06451)"
Bayes,model_only,2021,NH4,MT,"0.02029 (-0.01272, 0.0526)"
Bayes,model_only,2021,NH4,ST,"0.02291 (-0.009203, 0.05608)"
Bayes,model_only,2021,NO2,CT,"0.05667 (-0.233, 0.4236)"
Bayes,model_only,2021,NO2,MT,"0.04595 (-0.207, 0.3383)"
Bayes,model_only,2021,NO2,ST,"0.04657 (-0.2149, 0.3465)"
Bayes,model_only,2021,NO3,CT,"2.787 (2.127, 3.539)"
Bayes,model_only,2021,NO3,MT,"2.235 (1.786, 2.864)"
Bayes,model_only,2021,NO3,ST,"2.306 (1.919, 2.794)"
Bayes,model_only,2021,OP,CT,"0.05756 (0.02879, 0.093)"
Bayes,model_only,2021,OP,MT,"0.0552 (0.03286, 0.08112)"
Bayes,model_only,2021,OP,ST,"0.0538 (0.03182, 0.07897)"
Bayes,model_only,2021,Se,CT,"0.002606 (0.001974, 0.003261)"
Bayes,model_only,2021,Se,MT,"0.001696 (0.00135, 0.002166)"
Bayes,model_only,2021,Se,ST,"0.001837 (0.00153, 0.002237)"
Bayes,model_only,2021,TDS,CT,"298.3 (197.4, 427.2)"
Bayes,model_only,2021,TDS,MT,"243.8 (164.3, 335.4)"
Bayes,model_only,2021,TDS,ST,"255.8 (180.9, 342.2)"
Bayes,model_only,2021,TKN,CT,"1.276 (0.893, 1.735)"
Bayes,model_only,2021,TKN,MT,"0.6133 (0.4061, 0.9013)"
Bayes,model_only,2021,TKN,ST,"0.6963 (0.4942, 0.9583)"
Bayes,model_only,2021,TN,CT,"2.104 (0.397, 4.214)"
Bayes,model_only,2021,TN,MT,"1.331 (-0.01196, 2.977)"
Bayes,model_only,2021,TN,ST,"1.449 (0.04426, 3.132)"
Bayes,model_only,2021,TP,CT,"0.2369 (0.009695, 0.4951)"
Bayes,model_only,2021,TP,MT,"0.1824 (0.03227, 0.3484)"
Bayes,model_only,2021,TP,ST,"0.1613 (0.007992, 0.3277)"
Bayes,model_only,2021,TSS,CT,"451.5 (261.8, 694.9)"
Bayes,model_only,2021,TSS,MT,"212.3 (76.35, 363.1)"
Bayes,model_only,2021,TSS,ST,"244.5 (114.9, 394.9)"
Bayes,model_only,2022,NH4,CT,"0.0387 (-0.01342, 0.092)"
Bayes,model_only,2022,NH4,MT,"0.03114 (-0.01883, 0.07855)"
Bayes,model_only,2022,NH4,ST,"0.03403 (-0.01661, 0.08458)"
Bayes,model_only,2022,NO2,CT,"-0.1027 (-0.2096, -0.015)"
Bayes,model_only,2022,NO2,MT,"-0.08073 (-0.176, -0.002937)"
Bayes,model_only,2022,NO2,ST,"-0.08265 (-0.1799, -0.006347)"
Bayes,model_only,2022,NO3,CT,"3.596 (2.957, 4.235)"
Bayes,model_only,2022,NO3,MT,"3.321 (2.907, 3.759)"
Bayes,model_only,2022,NO3,ST,"3.315 (2.894, 3.77)"
Bayes,model_only,2022,OP,CT,"0.0538 (0.01418, 0.09312)"
Bayes,model_only,2022,OP,MT,"0.06348 (0.02932, 0.09943)"
Bayes,model_only,2022,OP,ST,"0.05953 (0.02551, 0.09433)"
Bayes,model_only,2022,Se,CT,"0.003509 (0.002889, 0.004146)"
Bayes,model_only,2022,Se,MT,"0.002987 (0.002599, 0.003408)"
Bayes,model_only,2022,Se,ST,"0.003095 (0.002675, 0.003513)"
Bayes,model_only,2022,TDS,CT,"476.8 (343.5, 615.7)"
Bayes,model_only,2022,TDS,MT,"433.6 (321.3, 544.5)"
Bayes,model_only,2022,TDS,ST,"439.6 (326.6, 558.9)"
