Method,Scenario,Year,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws
Bayes,model_only,2014,TP,CT,0.21012530249481443,0.21044266360548824,-0.041681327173922623,0.4741831718948132,1500
Bayes,model_only,2014,TP,MT,0.12960412845793978,0.13159799472465886,-0.17875047085082513,0.4387077954225131,1500
Bayes,model_only,2014,TP,ST,0.11190442626302935,0.11480532561355612,-0.17005897150998436,0.39137327622609036,1500
Bayes,model_only,2014,TSS,CT,227.0188931347232,227.1145153550694,3.608606097877648,449.47892012158957,1500
Bayes,model_only,2014,TSS,MT,45.26080806196778,47.940972851444286,-240.61552141143466,312.0362234528931,1500
Bayes,model_only,2014,TSS,ST,82.82558431397534,83.17421192711014,-180.6047572120509,327.06132323303177,1500
Bayes,model_only,2015,NH4,CT,0.03155086842161072,0.031127206234179992,0.018403401854556713,0.047014669547780705,1500
Bayes,model_only,2015,NH4,MT,0.03051411696452897,0.03053391482389914,0.019690335548700377,0.04112786025992973,1500
Bayes,model_only,2015,NH4,ST,0.030864152045239342,0.030708521209596367,0.020361479139896697,0.04171605324850817,1500
Bayes,model_only,2015,NO2,CT,0.13619704759097595,0.13179488612603624,-0.33876960866053557,0.6397994966152324,1500
Bayes,model_only,2015,NO2,MT,0.1280421870993838,0.11761194925328933,-0.31863741293749553,0.6003121401119521,1500
Bayes,model_only,2015,NO2,ST,0.12512021324070322,0.11591069625949738,-0.3015885700049613,0.5798949388110008,1500
Bayes,model_only,2015,NO3,CT,2.7684588016424354,2.7576687109679456,2.1743321636272217,3.4001051242522955,1500
Bayes,model_only,2015,NO3,MT,2.7550329649642076,2.755600619675686,2.3505468907391713,3.1634002163412953,1500
Bayes,model_only,2015,NO3,ST,2.6151503605743653,2.617754786186966,2.22194647127798,2.99247614840556,1500
Bayes,model_only,2015,OP,CT,0.03505116107313208,0.0349663911961893,0.010138619614498039,0.06294494545761121,1500
Bayes,model_only,2015,OP,MT,0.025567143893788377,0.025395850671666532,0.004477917211220758,0.04785028073872872,1500
Bayes,model_only,2015,OP,ST,0.02527110194376803,0.025170718577994158,0.005575045787219928,0.04569103807608051,1500
Bayes,model_only,2015,Se,CT,0.0025220481018610828,0.002517058449596282,0.001745995866393487,0.0033091097892940153,1500
Bayes,model_only,2015,Se,MT,0.0021377319297167696,0.0021413932743712,0.0014961436749129713,0.0027377257044592764,1500
Bayes,model_only,2015,Se,ST,0.0020346118152365744,0.0020410924632372337,0.0014493612067636163,0.0026080800132267405,1500
Bayes,model_only,2015,TDS,CT,299.86257917770865,295.3117504515159,187.75327606516407,425.5786483543322,1500
Bayes,model_only,2015,TDS,MT,304.9232681823259,302.250323156273,207.598397323589,408.431684590725,1500
Bayes,model_only,2015,TDS,ST,294.6241918701158,292.70995100650214,202.83909592358134,397.2433925412581,1500
Bayes,model_only,2015,TKN,CT,0.7753668316601873,0.7693194269147909,0.39880833406839267,1.2331292305890038,1500
Bayes,model_only,2015,TKN,MT,0.17149429630902507,0.17058274881868157,-0.1427076160723193,0.4957969228736956,1500
Bayes,model_only,2015,TKN,ST,0.15230449950383665,0.15416939527838472,-0.16729913907772231,0.45921865969450626,1500
Bayes,model_only,2015,TN,CT,3.275817250707815,3.245445190728671,2.522981259190631,4.152978198080122,1500
Bayes,model_only,2015,TN,MT,2.998411588987729,2.9902002749828203,2.509896023200451,3.5164286828371356,1500
Bayes,model_only,2015,TN,ST,2.853837377911691,2.853556138191549,2.361049192044105,3.346885998207866,1500
Bayes,model_only,2015,TP,CT,0.37322972124114184,0.3725399961805784,0.07161044803460681,0.6924683624400007,1500
Bayes,model_only,2015,TP,MT,0.10933866535650665,0.10706585566021092,-0.15073230318360958,0.3770876805679191,1500
Bayes,model_only,2015,TP,ST,0.1101488867647552,0.10459603370835951,-0.1382211600958711,0.37167201087272944,1500
Bayes,model_only,2015,TSS,CT,571.0941209573442,566.0824266461998,336.6982965045238,833.469904982326,1500
Bayes,model_only,2015,TSS,MT,72.99269513597613,75.58770006578018,-127.85907165326647,267.98654133967074,1500
Bayes,model_only,2015,TSS,ST,128.41171550682205,126.10622971223847,-59.78928714520798,305.51872841561544,1500
Bayes,model_only,2016,NH4,CT,0.015158937381822307,0.015308499351786634,0.006890698111177694,0.023214048203644977,1500
Bayes,model_only,2016,NH4,MT,0.0127345576122583,0.01268811916830489,0.0051200679934067725,0.020130752878152244,1500
Bayes,model_only,2016,NH4,ST,0.013131870874206596,0.01326557568366597,0.005159695314285292,0.020818774571210345,1500
Bayes,model_only,2016,NO2,CT,0.03252419168262469,0.030592120062083603,-0.13702911255625522,0.21301733775737505,1500
Bayes,model_only,2016,NO2,MT,0.029705048943667312,0.026980921785131493,-0.12250022772833144,0.19603188800857818,1500
Bayes,model_only,2016,NO2,ST,0.029784781297635697,0.027626785545840738,-0.12304501818630963,0.1902082214928431,1500
Bayes,model_only,2016,NO3,CT,0.5410760936569309,0.5578833470705524,0.2529078288267686,0.7843667528734344,1500
Bayes,model_only,2016,NO3,MT,0.5014561409533167,0.5198188603852534,0.2156837909019519,0.7494218777226472,1500
Bayes,model_only,2016,NO3,ST,0.4837921250989131,0.49795657858907694,0.20225442396372287,0.7200940024003348,1500
Bayes,model_only,2016,OP,CT,0.0030369247556175307,0.0026395424402950703,-0.005722091124957966,0.01379523316448279,1500
Bayes,model_only,2016,OP,MT,0.006008483817861648,0.005470379325792368,-0.001973589939232736,0.016662441830392324,1500
Bayes,model_only,2016,OP,ST,0.00561697177854185,0.0051407111354808376,-0.002160304119201605,0.01589233742447417,1500
Bayes,model_only,2016,Se,CT,0.0006873863682904378,0.000676975311416462,0.00019823396705261425,0.0012338447739453115,1500
Bayes,model_only,2016,Se,MT,0.0005799383791579339,0.0005727994778623225,0.00014207376431928323,0.0010706613695649367,1500
Bayes,model_only,2016,Se,ST,0.000576720913264598,0.0005673021285945725,0.00014597868654852076,0.0010527638617197342,1500
Bayes,model_only,2016,TDS,CT,93.6627486064146,90.57822725161444,36.242417495859755,165.2620321362394,1500
Bayes,model_only,2016,TDS,MT,84.4435980013759,81.996920434983,29.56688343602488,150.30140211298956,1500
Bayes,model_only,2016,TDS,ST,83.59900462868627,81.21868756383861,28.948791328829767,149.27328080883518,1500
Bayes,model_only,2016,TKN,CT,0.03527566962434478,0.03447595974485383,-0.12090212291204203,0.17255946829709837,1500
Bayes,model_only,2016,TKN,MT,0.013033349697139549,0.014267362760328927,-0.13747240764160282,0.13590499807192677,1500
Bayes,model_only,2016,TKN,ST,0.01832175815587231,0.01750078186584754,-0.1158507917253577,0.13987270462203394,1500
Bayes,model_only,2016,TN,CT,0.5742916517124478,0.5805223392960149,0.25152533371685193,0.8827117749982998,1500
Bayes,model_only,2016,TN,MT,0.46569661390200817,0.4711420770037236,0.18775506184282434,0.7474073606438334,1500
Bayes,model_only,2016,TN,ST,0.46274223447262586,0.46797058514709866,0.18517109644780783,0.7392608191009639,1500
Bayes,model_only,2016,TP,CT,-0.011739155216253745,-0.010424278680555014,-0.12551677503854816,0.08956186085423036,1500
Bayes,model_only,2016,TP,MT,0.018060869331138922,0.01788822393725981,-0.0774495727206986,0.1131502045093496,1500
Bayes,model_only,2016,TP,ST,0.01639794918322379,0.015185112715583036,-0.07858296968379444,0.11779830697916954,1500
Bayes,model_only,2016,TSS,CT,62.737364306065885,57.04255143724512,-23.671598053370925,172.54621898223357,1500
Bayes,model_only,2016,TSS,MT,65.33871750770584,59.7981427941992,-6.9654417157999555,171.3309931953525,1500
Bayes,model_only,2016,TSS,ST,80.89768094001714,75.81511707277969,3.410737585021727,191.8891612057432,1500
Bayes,model_only,2017,NH4,CT,0.03599574464083532,0.036410979192749965,-0.01623771047075039,0.08360224852365677,1500
Bayes,model_only,2017,NH4,MT,0.029311375135162285,0.029618666237061195,-0.014763395205042712,0.07025578632031165,1500
Bayes,model_only,2017,NH4,ST,0.029929157039650968,0.03031725207478876,-0.012589501226027144,0.07043747773524242,1500
Bayes,model_only,2017,NO2,CT,0.03078058222449969,0.016941911450283204,-0.5383112283190825,0.69758551665139,1500
Bayes,model_only,2017,NO2,MT,0.026278666978190937,0.017326550979462382,-0.4448562963334833,0.5992043197006538,1500
Bayes,model_only,2017,NO2,ST,0.026922169573021282,0.017464491143584122,-0.4433430349509995,0.5885977564451066,1500
Bayes,model_only,2017,NO3,CT,3.3906680888839733,3.3873074214930923,2.611698527942438,4.1891101282187915,1500
Bayes,model_only,2017,NO3,MT,3.0369782433419403,3.035603422479996,2.5078950193997165,3.5568578885191435,1500
Bayes,model_only,2017,NO3,ST,2.900070630904714,2.8947130800946104,2.3796126046501933,3.4323538181082824,1500
Bayes,model_only,2017,OP,CT,-0.005381005927532839,-0.005156939188023548,-0.046064348979418496,0.03478124867738017,1500
Bayes,model_only,2017,OP,MT,0.0017566530856531987,0.0015844177809001428,-0.03172862470576546,0.03510788292153726,1500
Bayes,model_only,2017,OP,ST,0.002202932162419395,0.0019927650569655005,-0.029250954655672096,0.03315036622272176,1500
Bayes,model_only,2017,Se,CT,0.0025716385058457388,0.002609670900349947,0.001094459357845,0.003923258237870475,1500
Bayes,model_only,2017,Se,MT,0.0019281063261029129,0.0019694244981426356,0.0007127968558847989,0.002993550192188549,1500
Bayes,model_only,2017,Se,ST,0.0018520655983924217,0.0018936586735305498,0.0006778927380385493,0.002874436465304621,1500
