Method,Scenario,Year,Treatment,center_kL,lower_95_kL,upper_95_kL,central_estimate_type,interval_type
Observed,observed_reference,2012,ST,101.4395,62.75496250000001,139.64178333333334,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2013,ST,109.085,63.016275,160.74173,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2014,ST,108.69461,57.74765092857143,160.78325385714282,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2015,ST,90.3864775,59.64446621875,124.4441696875,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2016,ST,78.19962,34.939962500000014,121.16322874999996,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2017,ST,149.21987,87.62328005000002,223.67525825,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2020,ST,160.77781666666664,75.67772195833335,259.0256300416666,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2021,ST,92.60923,29.980608958333345,167.86516054166668,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2023,ST,370.5715,288.8366549285714,454.5656921071428,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2024,ST,383.07076,322.5429992857143,443.0729496785714,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2025,ST,667.135665,583.9758612678572,755.3078718035715,event_bootstrap_mean,event-bootstrap 95% confidence interval
