Year,Treatment,Analyte,mean,median,low,high,n_draws
2015,ST,TSS,94221867.68010294,87271657.56704412,26937662.680282194,198777320.65446645,2000
2016,CT,NH4,43716.10917539066,32281.044356610124,4289.73868468421,136935.46666949827,2000
2016,CT,NO3,615214.8188717985,519513.4226558192,122711.95213655055,1579090.500709793,2000
2016,CT,NPOC,278408.8056892766,230789.7909204805,54193.6491134355,753190.5737566523,2000
2016,CT,OP,38838.89664855202,28535.542125060252,2867.996191577291,135939.55732019094,2000
2016,CT,TKN,133100.2572490093,107469.16709723636,21109.04389477475,393933.4019497855,2000
2016,CT,TN,556038.1628115867,474376.3926933335,113696.67676850995,1425645.1834243038,2000
2016,CT,TP,66980.14276040244,50691.01948247105,7519.848566777754,207550.16739718782,2000
2016,CT,TSP,38910.345483237834,28080.47806287611,3096.6023398565912,134427.38912967683,2000
2016,CT,TSS,21300908.878197387,18762442.989575498,4768294.665027784,49862915.09694064,2000
2016,MT,NH4,21553.32788393647,15830.21803711313,1596.9403784157844,71734.93999572174,2000
2016,MT,NO3,363211.3204425909,302306.2917205626,75148.14150003603,924509.4319545749,2000
2016,MT,NPOC,136012.8289148414,111698.53214762284,24947.079608675416,368958.2598352075,2000
2016,MT,OP,23876.802302450196,16866.131540825656,1818.5365490804832,82474.6714045465,2000
2016,MT,TKN,55734.700923115015,43664.90487199823,8401.944288508932,168207.08414517908,2000
2016,MT,TN,313289.9589790666,260891.16639708987,60656.53105391213,818481.829816142,2000
2016,MT,TP,30548.036634077645,23422.62523952496,2578.3732106226666,99972.94796261065,2000
2016,MT,TSP,18690.344374706616,12843.236442262914,944.1292746035463,66357.08692491891,2000
2016,MT,TSS,6112519.871409732,5187461.479902731,1247426.6837598463,15168811.437608821,2000
2016,ST,NH4,20160.814332436792,15102.550669126247,1475.1880759322353,68309.9393932624,2000
2016,ST,NO3,349273.7664384475,295011.9939331737,75014.02612480732,886419.1094151878,2000
2016,ST,NPOC,127887.73004745258,105631.04096626032,23655.3201316028,345707.11547181656,2000
2016,ST,OP,23678.092102977338,16662.813882152856,1574.875856520007,78973.64267429625,2000
2016,ST,TKN,53222.55108436941,41643.95234690943,7207.800177406876,162671.4844525016,2000
2016,ST,TN,309052.61100575473,259324.22034054575,64017.404332429716,795815.535264308,2000
2016,ST,TP,31003.575821391067,23250.220240566156,2931.3773060506987,99929.41299855655,2000
2016,ST,TSP,18510.66401620422,13024.44174684635,803.6939615664933,63414.385889997924,2000
2016,ST,TSS,5460959.092920799,4747637.425159136,1194736.376345342,13200610.161272222,2000
