Year,Treatment,Analyte,mean,median,low,high,n_draws
2016,ST,NH4,5642.361779999999,5642.361779999999,5642.361779999999,5642.361779999999,2000
2016,ST,NO2,40531.81343275692,40699.97929124146,19683.953944360834,61992.16656798328,2000
2016,ST,NO3,395033.512635,395033.512635,395033.512635,395033.512635,2000
2016,ST,NOx,152951.80305748366,151596.44968457252,76618.17729133085,237694.1652629067,2000
2016,ST,NPOC,465152.08040850004,465152.08040850004,465152.08040850004,465152.08040850004,2000
2016,ST,OP,2495.4395250000002,2495.4395250000002,2495.4395250000002,2495.4395250000002,2000
2016,ST,Se,38366.70903224396,38158.329068109495,19356.106656568252,58524.920241736654,2000
2016,ST,TDS,325937.0541899986,325504.7271775509,188225.18472546228,475507.14239721594,2000
2016,ST,TKN,8395.225365,8395.225365,8395.225365,8395.225365,2000
2016,ST,TN,376361.79459,376361.79459,376361.79459,376361.79459,2000
2016,ST,TP,750.649755,750.649755,750.649755,750.649755,2000
2016,ST,TSP,511.492995,511.492995,511.492995,511.492995,2000
2016,ST,TSS,29104141.635885004,29104141.635885,29104141.635885,29104141.635885,2000
2017,CT,ICP,662455.4258731946,660153.2488273382,410380.4252206711,936992.4743268238,2000
2017,CT,NH4,658689.9050133369,650721.4406824925,405972.2716355685,929709.4769711012,2000
2017,CT,NO2,479015.27850159415,477196.2532739282,314543.4628206309,656337.878082973,2000
2017,CT,NO3,5468957.836103256,5412280.757030333,4888102.953072128,6271818.609018623,2000
2017,CT,NOx,4352749.909415645,4327322.103191016,3217323.715529466,5714723.295679283,2000
2017,CT,NPOC,4975177.938872649,4945884.199911986,3689112.1321579907,6425140.64837937,2000
2017,CT,OP,74690.66791911189,73075.35700768685,30991.05955360802,123164.17962061681,2000
2017,CT,Se,430457.3202693339,427479.9039107668,288595.1875564154,580982.4141599393,2000
2017,CT,TDS,9532597.953556294,9513942.880326772,7061435.604826566,12213726.19100772,2000
2017,CT,TKN,2841344.8745717457,2834178.050084982,2684474.1250875765,3034461.5756329345,2000
2017,CT,TN,3003452.3570965063,2983328.248965622,2190272.045687364,3982232.9215534944,2000
2017,CT,TP,199628.13259947454,198510.65339936598,166268.91140387315,238611.89672780005,2000
2017,CT,TSP,659245.3867784602,654928.8965981241,412585.82062100683,925916.2952267143,2000
2017,CT,TSS,2162907902.28052,2162907902.28052,2162907902.28052,2162907902.28052,2000
2017,MT,ICP,137290.10243671908,136867.691251982,84529.91679788644,194758.56573006642,2000
2017,MT,NH4,135426.07098288988,134144.8078375953,82471.6040436875,194321.68091302237,2000
2017,MT,NO2,131253.71366574103,130548.97637978004,85455.44452178884,180070.2561253329,2000
2017,MT,NO3,1824343.7271838977,1822839.8094724463,1698186.5852075333,1970562.8800775725,2000
2017,MT,NOx,540124.1663321473,539110.4839629597,364713.7552917982,731336.651107826,2000
2017,MT,NPOC,657439.2988018661,651503.2612187485,450538.3446031725,876583.0961884657,2000
2017,MT,OP,19287.15886236801,18998.920642102777,10214.873238399676,29313.069377890006,2000
2017,MT,Se,113303.26250944304,113195.25296480175,73268.7445659523,155820.554666322,2000
2017,MT,TDS,1161234.532789065,1154378.8768274733,841288.1237281789,1522210.107726916,2000
2017,MT,TKN,339800.1346454424,338965.21294593427,320651.8529002576,362651.427220823,2000
2017,MT,TN,406432.28462880873,402878.8532839705,271206.32310506364,564818.0802410316,2000
2017,MT,TP,49324.853435637335,49252.196781134946,42725.53709166757,56516.85549090801,2000
2017,MT,TSP,134601.4699450085,134128.20973071997,81881.08532006745,188290.96606632503,2000
2017,MT,TSS,105224497.56111501,105224497.56111501,105224497.56111501,105224497.56111501,2000
2017,ST,ICP,93804.03516257806,92901.05633700287,59677.065131273426,130783.6464005167,2000
2017,ST,NH4,94794.2710279734,94245.42322973859,60380.14903661986,131013.04770914033,2000
2017,ST,NO2,97246.93972521924,96271.955122702,63359.65562045865,131950.90457948297,2000
