Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean,mean_abs_obs
NO3,CT,Bayes,12,3026992.3979520756,3719593.6818604497,1.0831274760507021,0.34285035100684563,0.16666666666666666,848138.6815473813,0.95,2913477.232762445,0.8483903112973304,3434123.65036
NO3,CT,ML,12,1573546.224409165,2320758.5727655217,0.6757935383375716,0.21391392698484987,0.08333333333333333,754434.1043399712,,2349618.8482293123,0.6841975093072148,3434123.65036
NO3,MT,Bayes,11,2966552.8016521093,3440395.978674506,1.3158858462469671,0.23242516585504047,0.09090909090909091,688540.4077759207,0.95,2872309.099892428,1.098603449725867,2614509.448890909
NO3,MT,ML,11,1449003.6622747416,2250206.9945682413,0.8606612592365244,0.1520187609689614,0.09090909090909091,539163.1895246973,,1674679.0633813327,0.6405328020871149,2614509.448890909
NO3,ST,Bayes,12,2948986.4842737825,3326695.3887615055,1.190476064688793,0.3031772357264452,0.08333333333333333,711161.9118629223,0.95,2844037.5816713353,1.0177543394845074,2794424.4218225
NO3,ST,ML,12,638445.9937801767,841115.9076362909,0.30099790893171563,0.07665480785051597,0.0,309291.55452997715,,1717000.87038152,0.6144381136140037,2794424.4218225
NPOC,CT,ML,1,4.656612873077393e-10,4.656612873077393e-10,2.4951339511701895e-16,,1.0,0.0,,100736.50606527741,0.05397723264885154,1866277.708615
NPOC,MT,ML,1,5.820766091346741e-11,5.820766091346741e-11,2.1112356528452509e-16,,0.0,0.0,,221113.9570592888,0.8019969573751694,275704.23431900004
NPOC,ST,ML,1,3.4924596548080444e-10,3.4924596548080444e-10,3.7541051646387787e-16,,1.0,0.0,,382182.1696566853,0.41081421082869296,930304.160817
OP,CT,Bayes,11,54323.80273953483,84559.7118176465,0.7436728322021842,0.19006643546868715,0.7272727272727273,96306.14186800183,0.95,43935.482192867414,0.3863970651531925,113705.52769454545
OP,CT,ML,11,54461.207366607494,97975.29028561288,0.8616581117218001,0.22022088046792757,0.09090909090909091,1184.5232567887522,,89435.24083481042,0.7865513897887719,113705.52769454545
OP,MT,Bayes,10,59955.21767542113,102524.0140854314,1.1009992990189632,0.303784707454894,0.4,81297.42545354227,0.95,49956.78305687972,0.5364829266344809,93119.054823
OP,MT,ML,10,103314.27991199723,182530.8053315945,1.9601874791206557,0.5408495540660271,0.0,2288.5056404453644,,64627.84863099243,0.6940346286142676,93119.054823
OP,ST,Bayes,11,34685.20178889153,49529.205975952944,0.37469659950683537,0.08875652435023948,0.7272727272727273,81140.73823530141,0.95,27124.79440208067,0.20520353646929476,132184.82911545454
OP,ST,ML,11,32885.436267581,59620.30818926932,0.4510374495184693,0.10683981766513374,0.09090909090909091,784.8510015514287,,62138.22388833321,0.47008589642355747,132184.82911545454
Se,CT,Bayes,2,5407.682110018235,5534.254683022023,8.193244618156365,7.228106198507686,0.0,1059.0678333392502,0.95,5263.018832273179,7.791690695960375,675.4655745
Se,CT,ML,2,22735.492615044783,30581.752878113,45.27507253163943,39.94181153564364,0.0,788.3284744752207,,8378.642201264149,12.404247555423195,675.4655745
Se,MT,Bayes,1,4089.7723708364238,4089.7723708364238,5.962247534783835,,0.0,743.911020511493,0.95,3988.4959788418587,5.814602418198067,685.944746
Se,MT,ML,1,7396.980323896024,7396.980323896024,10.783638721676313,,0.0,82.05754308241649,,36881.29039764103,53.76714467558737,685.944746
Se,ST,Bayes,2,2666.899260048637,2784.8941775117196,1.9535610322674972,23.713008674426508,0.0,627.2131081806367,0.95,2572.666434560379,1.804686489046518,1425.5475675
Se,ST,ML,2,4779.152271144686,6458.474702540073,4.530522060281985,54.99306504412138,0.0,189.3345018696615,,24902.212164976085,17.46852418867186,1425.5475675
TDS,CT,Bayes,3,480164516.5457754,608158535.4004571,0.4712151116266559,0.6080552636836284,0.0,161589128.8923746,0.95,456802726.9716909,0.3539411772615966,1290617640.2133334
TDS,CT,ML,3,358633285.4541604,537459348.8726461,0.4164357685238259,0.5373680826214092,0.0,49858042.23526756,,918712589.1210966,0.7118394794055639,1290617640.2133334
TDS,MT,Bayes,3,362341037.0787053,533885717.77328014,0.35823768389610017,0.3381100083029543,0.3333333333333333,137827702.38708034,0.95,347537904.59560764,0.23319817306164567,1490311437.8333333
