Method,Scenario,Analyte,Draw,CT,MT,ComparisonTreatment,valid_percent_denominator,AbsoluteDifference_CT_minus_T_kg,PercentDifferenceRelativeToCT,TreatmentLowerThanCT,ST
BayesSensitivity,annual_draw_truncation_at_zero,NH4,610,0.28551312920748967,0.2624666551710253,MT,True,0.02304647403646437,8.071948950451212,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,611,0.3192065871979559,0.29045852092455693,MT,True,0.028748066273398987,9.006100571342808,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,613,0.2171111838509969,0.19476416848086178,MT,True,0.022347015370135115,10.292890017803892,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,617,0.36151525926308686,0.41009831469851915,MT,True,-0.04858305543543229,-13.438728847701766,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,620,0.3330760764795188,0.29046790862929434,MT,True,0.042608167850224477,12.792323093443336,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,621,0.27806403903585103,0.23000749757184452,MT,True,0.04805654146400651,17.282544564423354,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,623,0.23020403533344364,0.18210974475702077,MT,True,0.048094290576422866,20.89202759055015,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,625,0.19928049706014342,0.17692017695234774,MT,True,0.022360320107795678,11.220526061337186,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,628,0.2241816156323126,0.21247170187752398,MT,True,0.011709913754788609,5.223405015509573,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,629,0.26399222986621074,0.18963153058715976,MT,True,0.07436069927905098,28.167760587778066,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,638,0.28746805384781404,0.1938647552176854,MT,True,0.09360329863012865,32.561287202953814,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,644,0.2421806324519055,0.21592881807947636,MT,True,0.026251814372429128,10.83976621361019,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,646,0.2616013335031861,0.25763773992659417,MT,True,0.003963593576591928,1.515127435901872,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,648,0.20591074263641845,0.20344768170638033,MT,True,0.002463060930038119,1.1961789358349335,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,652,0.2281832199409761,0.22485096909129043,MT,True,0.003332250849685664,1.460340006836442,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,653,0.0976852543962004,0.08669310377260862,MT,True,0.010992150623591782,11.252620153916839,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,654,0.4483038827338949,0.4684131190156951,MT,True,-0.020109236281800225,-4.48562616927784,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,656,0.39706807341397893,0.4530956516164876,MT,True,-0.0560275782025087,-14.110320610968627,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,658,0.27066771737387946,0.24550875547627604,MT,True,0.025158961897603416,9.29514688404852,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,659,0.40504793513250403,0.34806119595485135,MT,True,0.05698673917765268,14.069134597368212,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,661,0.4175355624581797,0.49734556271651953,MT,True,-0.07981000025833984,-19.114539558851014,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,664,0.3305547753014736,0.24268227254480879,MT,True,0.0878725027566648,26.583340893055635,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,667,0.28144681013367556,0.24790776262275965,MT,True,0.03353904751091591,11.916655759923607,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,669,0.24191878915094042,0.22566431624583885,MT,True,0.01625447290510157,6.718979109539075,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,676,0.3356648165652238,0.3016269113764793,MT,True,0.0340379051887445,10.140444726094943,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,681,0.24458410424808738,0.2397967310689238,MT,True,0.004787373179163584,1.957352540910688,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,683,0.3177653823997246,0.24375286487514763,MT,True,0.07401251752457699,23.291560888616523,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,691,0.23688977883939077,0.2711316742618552,MT,True,-0.03424189542246442,-14.454779598439377,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,693,0.22960526291983435,0.21068415051733697,MT,True,0.018921112402497386,8.240713719660516,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,695,0.30342481353344497,0.2753164443746588,MT,True,0.028108369158786173,9.263701551451373,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,697,0.27139543639285446,0.2469618618566326,MT,True,0.024433574536221858,9.002942297398619,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,698,0.19367456003008982,0.18516164448142886,MT,True,0.00851291554866096,4.395474319052729,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,703,0.3061734569471752,0.25656810927493806,MT,True,0.04960534767223712,16.20171394569832,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,704,0.4337612183505651,0.45739749846343825,MT,True,-0.023636280112873165,-5.449145546656585,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,705,0.33103680285370307,0.300961687272226,MT,True,0.030075115581477074,9.085127491026531,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,706,0.408312428157968,0.3809320109307423,MT,True,0.027380417227225673,6.705751610537001,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,707,0.20379003760041087,0.2445889004769981,MT,True,-0.04079886287658724,-20.020047769256106,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,708,0.31919297592953705,0.33982749819351077,MT,True,-0.02063452226397372,-6.464591585664736,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,713,0.3153270114025178,0.2802899377104559,MT,True,0.03503707369206188,11.111345500096323,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,720,0.3001605272209236,0.2839586712110138,MT,True,0.01620185600990981,5.397730394438223,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,721,0.18657969774476163,0.20187963664438735,MT,True,-0.01529993889962572,-8.200216360386552,0.0,
