Method,Scenario,Year,Outcome,ComparisonTreatment,mean,median,lower_95,upper_95,n_valid_percent_draws,n_total_draws,ct_annual_total_median,ct_annual_total_lower_95,ct_annual_total_upper_95,n_invalid_percent_draws,fraction_invalid_percent_draws,PointPercentDifference,primary_center,primary_center_type,primary_center_within_draw_interval,definition
Bayes,model_only,2015,TP,MT,-41.499828520798694,-72.04233067520931,-100.0,184.17774797771077,1384,1500,0.029625509913794753,0.0,0.18919168191673258,116,0.07733333333333334,,-72.04233067520931,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2015,TP,ST,-27.377308373420547,-78.36675809707751,-100.0,201.95398242963086,1384,1500,0.029625509913794753,0.0,0.18919168191673258,116,0.07733333333333334,,-78.36675809707751,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2015,TSS,MT,-74.08814514087638,-90.72879170419408,-100.0,-9.766223603710664,1465,1500,42.778213505582,0.1695612343043937,203.95201156603977,35,0.023333333333333334,,-90.72879170419408,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2015,TSS,ST,-78.35532695492459,-92.97694488305895,-100.0,-15.688185653740907,1465,1500,42.778213505582,0.1695612343043937,203.95201156603977,35,0.023333333333333334,,-92.97694488305895,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2016,Runoff volume,MT,-51.857519206210775,-52.72065767403514,-82.29999725554102,-15.130018515037701,1500,1500,61196.0253442949,40644.219991393,82615.4869137245,0,0.0,,-52.72065767403514,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2016,Runoff volume,ST,-37.407855659236134,-38.85370844554731,-68.94946340924902,0.7399197321719245,1500,1500,61196.0253442949,40644.219991393,82615.4869137245,0,0.0,,-38.85370844554731,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2016,TN,MT,-56.34596715875433,-58.444256596291076,-87.328067784377,-12.482646752035615,1500,1500,0.2936982507902758,0.11908138301409198,0.5138750200218168,0,0.0,,-58.444256596291076,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2016,TN,ST,-41.70785731945313,-44.43730408556934,-75.06960318946295,6.364146404945938,1500,1500,0.2936982507902758,0.11908138301409198,0.5138750200218168,0,0.0,,-44.43730408556934,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2016,TP,MT,7.782589716604968,-99.15027257461455,-100.00000000000001,331.6472031846461,601,1500,0.0,0.0,0.03916436845897381,899,0.5993333333333334,,-99.15027257461455,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2016,TP,ST,21.497436132137505,-94.28056172417159,-100.0,341.12837411300376,601,1500,0.0,0.0,0.03916436845897381,899,0.5993333333333334,,-94.28056172417159,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
