Method,Scenario,Year,Treatment,center_kL,lower_95_kL,upper_95_kL,central_estimate_type,interval_type
ML,full_record_model_only,2018,CT,71.35603619985291,52.20263983929898,195.38755872781928,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2019,CT,17.18933640075829,6.216105823245973,133.92301074661856,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2020,CT,119.21733066214962,92.57273878156383,308.44403119414335,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2021,CT,89.85282641219523,69.35547584343323,229.55744295834404,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2022,CT,117.51097037436013,95.13599011325206,276.457218632219,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2023,CT,247.66751783404303,190.2544094940032,690.9504964786888,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2024,CT,144.33038610878958,104.80392606043874,445.8779725346966,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2025,CT,331.2573255982927,291.50941724012046,738.3213163003049,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2011,MT,115.56786216164053,83.55195869113656,350.30180120029013,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2012,MT,117.73031453281502,90.90977940212704,305.56640068610244,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2013,MT,146.59294484669724,114.30793472831147,394.5853804239041,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2014,MT,50.527305963705174,33.2237040438573,207.7718900100845,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2015,MT,48.353453102187096,35.87493890309675,135.65810678757762,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2016,MT,8.220645773315962,4.251125360702835,35.748803972384295,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2017,MT,68.55221745984241,49.02715092922779,217.59044669111307,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2018,MT,52.20765773847754,39.088819343596015,151.6007212305411,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2019,MT,12.940831268340812,4.534604347486496,47.47154068087158,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2020,MT,81.47311129264696,64.23132661886503,198.9083329390126,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2021,MT,53.89115559343413,41.32172822158702,144.8652333531365,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2022,MT,106.01923889787982,86.51782775767465,255.04778143496966,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2023,MT,237.47421618702688,181.61023179633128,661.9311482804297,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2024,MT,143.9529609081063,96.78774874029645,499.30600585532846,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2025,MT,399.80082866468234,331.2285758660635,909.7577086884129,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2011,ST,117.91719470003059,85.91290589511814,341.76438076763003,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2012,ST,98.42422609178792,77.93086403326355,253.7952685122652,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2013,ST,105.80225320354354,81.04517846385664,281.2527990292481,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2014,ST,52.298187544191,37.70566335118488,163.58092941046556,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2015,ST,55.085310575702096,39.23565459030752,158.1534209070681,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2016,ST,22.729092760209053,11.41599102010754,98.626563839369,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2017,ST,59.87617740696152,44.93917214783218,181.48810721616744,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2018,ST,54.48051013880956,38.97801047272027,150.56777450301152,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2019,ST,11.904812503858793,3.949829534677644,83.83022004396224,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2020,ST,100.03396727001244,77.08054713011171,266.06066961055575,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2021,ST,44.575971763523384,32.833295930709326,120.35800775289084,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2022,ST,96.53009354474976,79.01740092265176,229.76679813949028,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2023,ST,200.22975797898178,155.93317549135722,538.7781679204151,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2024,ST,170.1514084170304,130.68659521380962,487.5310560210094,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2025,ST,404.8042348412953,355.0245376754339,890.0701387736292,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
