model_version,source,interval_prob,Year,analyte,treatment,n_events,n_rows,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high,load_mean,load_low,load_high
v1p7p5,Bayes_Modeled,0.95,2011,TSS,CT,12,12,405553.0545203959,387962.17453569744,423520.761193774,1745.3814528765588,1010.5470539543296,2470.9909652116835,707744.3655095311,407388.7838899747,1000413.3398946886
v1p7p5,Bayes_Modeled,0.95,2011,TSS,MT,12,12,420234.01425085746,404239.7157276692,435869.6523110017,118.6798142298819,-664.58344313890575,879.6480960017465,49830.035166188325,-280704.234208983,367432.6754260714
v1p7p5,Bayes_Modeled,0.95,2011,TSS,ST,12,12,421100.48836440034,404369.31130225654,437478.6225557903,22.671454679615664,-771.193171427793,787.0960777953378,9510.579102172529,-328403.1481529358,332465.22845071857
v1p7p5,Bayes_Modeled,0.95,2012,TSS,CT,20,20,676678.7189470744,647790.9557212272,705965.9758509919,1626.3816451619841,995.0101260874858,2259.8722096807305,1100546.8900156613,671161.5415742337,1541406.549796232
v1p7p5,Bayes_Modeled,0.95,2012,TSS,MT,20,20,699451.3434617576,673346.2668011931,724814.4317449252,35.203557232432985,-647.0599912219359,745.66499123729,24675.18504439189,-455360.0305260746,521259.28796752635
v1p7p5,Bayes_Modeled,0.95,2012,TSS,ST,20,20,698545.1559513441,672898.4494744143,723423.8823931159,172.7927852180234,-498.9944846218635,850.1517829771533,120765.67004652292,-348363.47996007884,588756.5011328049
v1p7p5,Bayes_Modeled,0.95,2013,TSS,CT,14,14,529316.6620303735,510310.76171925507,548120.1838261477,359.0626203484406,-483.56487626429487,1260.5055213428136,190195.72696994164,-255294.32091197732,664770.740499578
v1p7p5,Bayes_Modeled,0.95,2013,TSS,MT,14,14,530394.9409272269,511212.9895132029,549845.1721979616,179.31673992415247,-730.7533027326816,1072.799196898333,95280.46576280898,-390327.57298818254,568505.9257931088
v1p7p5,Bayes_Modeled,0.95,2013,TSS,ST,14,14,530394.9409272269,511212.9895132029,549845.1721979616,256.65370349482373,-587.6126118269599,1164.461959334217,136270.94142289207,-311596.13065639534,618560.473698006
v1p7p5,Bayes_Modeled,0.95,2014,TSS,CT,25,25,868504.5907395189,838188.7135409318,896156.248083592,871.7527535275428,237.54611768953055,1496.9153002505186,757158.0977587475,203616.2199997942,1291204.9786580894
v1p7p5,Bayes_Modeled,0.95,2014,TSS,MT,12,12,420239.79074494774,404238.65850803314,435882.1378474557,485.92773521061156,-250.33814777272468,1181.0386451316783,204201.1891166974,-106826.39604747848,496424.2446931093
v1p7p5,Bayes_Modeled,0.95,2014,TSS,ST,24,24,840479.5814898955,808477.3170160663,871764.2756949114,523.2822428453288,-153.04539518728882,1188.8560225196552,439815.2713470715,-129254.56841365865,996714.7518032002
