iter	Passed	Remaining
1420	61929	68814
1421	61988	68789
1422	62035	68749
1423	62080	68707
1424	62153	68695
1425	62200	68656
1426	62246	68614
1427	62289	68570
1428	62331	68525
1429	62384	68491
1430	62427	68448
1431	62469	68402
1432	62511	68357
1433	62574	68334
1434	62628	68301
1435	62677	68264
1436	62722	68222
1437	62766	68178
1438	62815	68141
1439	62860	68099
1440	62903	68054
1441	62946	68010
1442	62991	67967
1443	63033	67922
1444	63088	67891
1445	63136	67851
1446	63176	67804
1447	63217	67757
1448	63259	67712
1449	63297	67662
1450	63341	67619
1451	63384	67574
1452	63427	67530
1453	63498	67516
1454	63543	67474
1455	63603	67447
1456	63655	67413
1457	63702	67372
1458	63746	67328
1459	63788	67284
1460	63836	67244
1461	63887	67208
1462	63927	67161
1463	63982	67129
1464	64036	67096
1465	64089	67062
1466	64141	67027
1467	64185	66983
1468	64229	66940
1469	64276	66900
1470	64323	66859
1471	64368	66816
1472	64413	66774
1473	64454	66728
1474	64495	66682
1475	64568	66668
1476	64622	66635
1477	64678	66604
1478	64729	66567
1479	64778	66528
1480	64817	66480
1481	64859	66435
1482	64904	66392
1483	64948	66349
1484	64988	66301
1485	65026	66252
1486	65073	66211
1487	65116	66166
1488	65158	66120
1489	65196	66071
1490	65235	66023
1491	65277	65977
1492	65321	65933
1493	65362	65887
1494	65406	65843
1495	65448	65798
1496	65487	65749
1497	65526	65701
1498	65566	65653
1499	65606	65606
1500	65645	65557
1501	65687	65512
1502	65731	65469
1503	65772	65422
1504	65811	65374
1505	65853	65328
1506	65893	65280
1507	65945	65245
1508	65988	65201
1509	66030	65156
1510	66075	65113
1511	66119	65069
1512	66159	65022
1513	66203	64979
1514	66244	64933
1515	66285	64886
1516	66327	64841
1517	66368	64794
1518	66407	64746
1519	66447	64699
1520	66491	64655
1521	66529	64605
1522	66574	64563
1523	66618	64520
1524	66671	64485
1525	66752	64477
1526	66800	64438
1527	66845	64395
1528	66896	64359
1529	66941	64315
1530	66982	64269
1531	67027	64227
1532	67072	64185
1533	67110	64136
1534	67155	64092
1535	67194	64044
1536	67236	63999
1537	67280	63955
1538	67321	63909
1539	67361	63862
1540	67435	63847
1541	67482	63806
1542	67527	63763
1543	67572	63720
1544	67615	63677
1545	67660	63634
1546	67702	63588
1547	67743	63542
1548	67788	63500
1549	67828	63452
1550	67871	63407
1551	67925	63374
1552	67976	63336
1553	68022	63295
1554	68075	63260
1555	68128	63224
1556	68175	63183
1557	68220	63140
1558	68260	63093
1559	68303	63049
1560	68345	63003
1561	68385	62957
1562	68425	62909
1563	68463	62860
1564	68506	62816
1565	68549	62771
1566	68586	62721
1567	68627	62675
1568	68669	62629
1569	68708	62581
1570	68747	62533
1571	68791	62489
1572	68845	62455
1573	68892	62415
1574	68940	62374
1575	68978	62326
1576	69029	62288
1577	69070	62242
1578	69113	62197
1579	69153	62150
1580	69197	62107
1581	69240	62062
1582	69281	62016
1583	69322	61970
1584	69364	61924
1585	69416	61888
1586	69456	61840
1587	69501	61798
1588	69544	61754
1589	69586	61708
1590	69628	61663
1591	69671	61619
1592	69713	61573
1593	69754	61527
1594	69794	61480
1595	69819	61419
1596	69859	61373
1597	69900	61326
1598	69937	61277
1599	69979	61232
1600	70020	61186
1601	70080	61156
1602	70127	61115
1603	70169	61070
1604	70223	61035
1605	70265	60990
1606	70304	60942
1607	70342	60893
1608	70382	60846
1609	70422	60799
1610	70462	60752
1611	70502	60705
1612	70544	60660
1613	70586	60615
1614	70625	60567
1615	70669	60523
1616	70709	60476
1617	70752	60432
1618	70792	60386
1619	70836	60341
1620	70876	60295
1621	70921	60252
1622	70960	60204
1623	70998	60156
1624	71040	60111
1625	71084	60068
1626	71130	60025
1627	71172	59980
1628	71215	59936
1629	71257	59891
1630	71297	59844
1631	71337	59797
1632	71379	59752
1633	71428	59712
1634	71467	59665
1635	71507	59618
1636	71546	59571
1637	71584	59522
1638	71628	59478
1639	71671	59434
1640	71713	59389
1641	71753	59342
1642	71795	59297
1643	71835	59251
1644	71877	59206
1645	71917	59159
1646	71956	59111
1647	71994	59063
1648	72035	59017
1649	72073	58969
1650	72111	58921
1651	72178	58896
1652	72221	58851
1653	72265	58808
1654	72305	58762
1655	72348	58717
1656	72393	58675
1657	72437	58631
1658	72478	58585
1659	72517	58537
1660	72567	58499
1661	72612	58457
1662	72665	58420
1663	72708	58376
