variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,probability_positive,parameter_family,parameter_index,analyte,rhat_threshold,rhat_status
RES_unit_miss_logit[7],-1.0286964346125,-0.3212785,3.2646639083747586,3.4957632359999997,-6.7209959999999995,3.471766499999997,1.0039581854181343,380.3375196053005,1736.0526313843716,0.47025,RES_unit_miss_logit,7,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[8],-2.0218650414225,-1.9636149999999999,3.0069136449185376,3.4169556329999993,-6.9555295,2.524480999999999,1.0028987759053034,481.6961381007029,2104.9923474711168,0.29325,RES_unit_miss_logit,8,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[9],-0.052085368385000004,-0.0536795,2.1797218396431,2.022748245,-3.6696394999999997,3.4671214999999975,1.0053198029438053,1490.651506279241,2337.6550996923565,0.49125,RES_unit_miss_logit,9,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[10],1.841165536026,1.867435,1.9775341790381067,1.702358385,-1.5183994999999995,5.070165499999999,1.0029672163516055,1079.783716533316,1263.1433603881394,0.8555,RES_unit_miss_logit,10,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[11],0.63065932527925,0.6389579999999999,2.098293771251911,1.8826677492000001,-2.8081795,4.079598999999999,1.0009925073708879,1714.5859152161838,2331.3316700800974,0.63625,RES_unit_miss_logit,11,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[12],0.62439091611875,0.6735925,2.188477586300474,1.9559704584000002,-3.1707185,4.1163469999999975,1.0009524891157673,1390.0768130762142,2271.617967291125,0.643,RES_unit_miss_logit,12,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[13],-1.053784504811425,-0.9536715,2.5174710906800906,2.6094034281000003,-5.1840715,2.8910919999999987,1.0013213916857167,683.995785865498,1762.325386595028,0.3585,RES_unit_miss_logit,13,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[14],-0.663636730167,-0.40123149999999996,2.4506179779134647,2.3067083990999997,-4.988598,3.0521344999999998,1.0007224865508701,1590.102210684351,2744.852186445219,0.4245,RES_unit_miss_logit,14,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[15],-0.0694643812355,-0.05346095,2.238802670090651,2.13561717453,-3.801756,3.694667499999998,1.000809053796811,2556.410141027995,2711.0401051837584,0.4875,RES_unit_miss_logit,15,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[16],-0.100122672869925,-0.06706555,2.2072763664668256,2.0773383924299997,-3.7498219999999995,3.612109499999999,1.000790646869555,3430.118876183816,3021.5113023471417,0.48325,RES_unit_miss_logit,16,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[17],-0.4258168607985,-0.43226549999999997,2.1797966841330636,2.0231107407,-4.036505,3.185392499999995,1.001468828655729,3124.062732455172,2615.6027193328864,0.412,RES_unit_miss_logit,17,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[18],0.9083279194105,1.007025,2.2661588131283974,2.1219060156,-3.0808039999999997,4.4997624999999974,1.001967135495425,1068.0922841108213,2505.2002256097376,0.6815,RES_unit_miss_logit,18,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[19],-4.08292282636575,-4.018975,2.3203414018085002,2.3078670509999997,-8.0446655,-0.38265980000000055,1.0014205274971735,2202.8842373552825,2658.1531053816766,0.0335,RES_unit_miss_logit,19,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[20],-4.2570845964,-4.29622,2.4089041923913364,2.292751944,-8.1541895,-0.1797139500000035,1.001293406602034,1056.3743357309384,670.7682192819692,0.043,RES_unit_miss_logit,20,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[21],-0.75699817911575,-0.6285989999999999,2.5994315968118973,2.651689404,-5.200460499999999,3.295874499999999,1.0035526226164946,1376.5555077245497,2809.913881980709,0.41025,RES_unit_miss_logit,21,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[22],-0.91021252585075,-0.7516065000000001,2.6137689922517895,2.6620727930999997,-5.3188075,3.2717175,1.0025838156223312,1401.6815901142459,2226.3500674042525,0.386,RES_unit_miss_logit,22,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[23],-1.085629558465,-0.9658279999999999,2.578237364865312,2.6182678934999997,-5.3532285,2.915763999999997,1.0041586679263292,915.7598619024244,2189.028839428399,0.351,RES_unit_miss_logit,23,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[24],-1.4593773608015,-1.2367599999999999,2.326237703154089,2.1843360777,-5.506071999999999,2.0435879999999975,1.0014369483718224,2064.2348550545335,2566.5632943382816,0.26,RES_unit_miss_logit,24,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[25],-0.75226980595465,-0.7049369999999999,2.890689476862412,2.812825785,-5.4543635,4.047202999999999,1.0013215571240779,1870.840265355312,1778.849433338497,0.39675,RES_unit_miss_logit,25,NA,1.04,at_or_below_1.04
