Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean,mean_abs_obs
NO3,CT,Bayes,12,2972793.843513429,3690215.4264700743,1.074572671861489,0.3401424355639091,0.16666666666666666,841632.6794451579,0.95,2600046.6331807976,0.757120854663528,3434123.65036
NO3,CT,ML,12,1573546.224409165,2320758.5727655217,0.6757935383375716,0.21391392698484987,0.08333333333333333,754434.1043399712,,2349618.8482293123,0.6841975093072148,3434123.65036
NO3,MT,Bayes,11,2942700.787390781,3413658.4770832015,1.305659261828752,0.23061884231541624,0.09090909090909091,700369.8761385832,0.95,2843085.512850192,1.087425985037555,2614509.448890909
NO3,MT,ML,11,1449003.6622747416,2250206.9945682413,0.8606612592365244,0.1520187609689614,0.09090909090909091,539163.1895246973,,1674679.0633813327,0.6405328020871149,2614509.448890909
NO3,ST,Bayes,12,2893779.960100503,3283574.2814070783,1.1750449415502742,0.29924740849509013,0.08333333333333333,720754.7077037349,0.95,2725090.2071588775,0.9751883736335215,2794424.4218225
NO3,ST,ML,12,638445.9937801767,841115.9076362909,0.30099790893171563,0.07665480785051597,0.0,309291.55452997715,,1717000.87038152,0.6144381136140037,2794424.4218225
NPOC,CT,ML,1,4.656612873077393e-10,4.656612873077393e-10,2.4951339511701895e-16,,1.0,0.0,,100736.50606527741,0.05397723264885154,1866277.708615
NPOC,MT,ML,1,5.820766091346741e-11,5.820766091346741e-11,2.1112356528452509e-16,,0.0,0.0,,221113.9570592888,0.8019969573751694,275704.23431900004
NPOC,ST,ML,1,3.4924596548080444e-10,3.4924596548080444e-10,3.7541051646387787e-16,,1.0,0.0,,382182.1696566853,0.41081421082869296,930304.160817
OP,CT,Bayes,11,55277.34205569359,84438.51605348541,0.7426069582150665,0.18979402149762636,0.6363636363636364,97467.61057737368,0.95,48191.914344149016,0.4238308842258759,113705.52769454545
OP,CT,ML,11,54461.207366607494,97975.29028561288,0.8616581117218001,0.22022088046792757,0.09090909090909091,1184.5232567887522,,89435.24083481042,0.7865513897887719,113705.52769454545
OP,MT,Bayes,10,64031.86471824975,103187.75436621773,1.108127166479044,0.3057514090986347,0.4,81600.55816487545,0.95,60004.37922170211,0.6443834651861318,93119.054823
OP,MT,ML,10,103314.27991199723,182530.8053315945,1.9601874791206557,0.5408495540660271,0.0,2288.5056404453644,,64627.84863099243,0.6940346286142676,93119.054823
OP,ST,Bayes,11,35676.81854580235,48314.34197883718,0.3655059533090432,0.08657948347470867,0.7272727272727273,82181.45369300725,0.95,28083.06641125836,0.21245302202365215,132184.82911545454
OP,ST,ML,11,32885.436267581,59620.30818926932,0.4510374495184693,0.10683981766513374,0.09090909090909091,784.8510015514287,,62138.22388833321,0.47008589642355747,132184.82911545454
Se,CT,Bayes,2,5427.035878549382,5557.6521903454495,8.227883700008533,7.258664905578562,0.0,1049.5924034904706,0.95,4446.029787512202,6.582170809820009,675.4655745
Se,CT,ML,2,22735.492615044783,30581.752878113,45.27507253163943,39.94181153564364,0.0,788.3284744752207,,8378.642201264149,12.404247555423195,675.4655745
Se,MT,Bayes,1,4117.015670591779,4117.015670591779,6.001963998703445,,0.0,804.3691795045061,0.95,5273.649034005585,7.688154278836892,685.944746
Se,MT,ML,1,7396.980323896024,7396.980323896024,10.783638721676313,,0.0,82.05754308241649,,36881.29039764103,53.76714467558737,685.944746
Se,ST,Bayes,2,2668.4107070551104,2789.6907721155508,1.9569257706411476,23.753851048390597,0.0,635.9842116565899,0.95,3178.603613124984,2.2297422306990002,1425.5475675
Se,ST,ML,2,4779.152271144686,6458.474702540073,4.530522060281985,54.99306504412138,0.0,189.3345018696615,,24902.212164976085,17.46852418867186,1425.5475675
TDS,CT,Bayes,3,462621952.82468295,604476542.4195907,0.4683622194406652,0.6043738959439028,0.3333333333333333,160112613.66832194,0.95,353565497.3160207,0.2739506158133542,1290617640.2133334
TDS,CT,ML,3,358633285.4541604,537459348.8726461,0.4164357685238259,0.5373680826214092,0.0,49858042.23526756,,918712589.1210966,0.7118394794055639,1290617640.2133334
TDS,MT,Bayes,3,374806086.86552477,539007075.2714344,0.36167411830044177,0.3413533657642578,0.3333333333333333,137593216.06216192,0.95,345908767.22176963,0.2321050207630855,1490311437.8333333
