method,sensitivity_variant,analyte,treatment,first_included_year,last_included_year,n_included_years,missing_years,n_draws,mean_cumulative_load_kg,median_cumulative_load_kg,lower_95_raw_kg,lower_95_display_kg,upper_95_kg,interval_probability,n_input_annual_draws,n_input_annual_draws_below_zero,fraction_input_annual_draws_below_zero,n_cumulative_draws_below_zero,fraction_cumulative_draws_below_zero,source_file,source_units,output_units,conversion_factor_to_kg,provisional_qc_flag,provisional_qc_reason
ML,saved_imputed_row_draws,OP,ST,2011,2025,15,None,2000,2.7897967508551615,2.7810967704902945,2.5251099782285187,2.5251099782285187,3.0843084421920373,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
Bayes,annual_draw_truncation,Se,CT,2011,2025,15,None,400,0.09052759864531118,0.09093621982834177,0.07433500775426359,0.07433500775426359,0.10505305392358981,0.95,6000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,Se,MT,2011,2025,15,None,400,0.07393904778981347,0.0739504407444112,0.06048164122142873,0.06048164122142873,0.08660435869299427,0.95,6000,1,0.00016666666666666666,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,Se,ST,2011,2025,15,None,400,0.07622312676116626,0.0762713499288722,0.06324371671982634,0.06324371671982634,0.08869624535616809,0.95,6000,1,0.00016666666666666666,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,Se,CT,2011,2025,15,None,400,0.09052759864531118,0.09093621982834177,0.07433500775426359,0.07433500775426359,0.10505305392358981,0.95,6000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,Se,MT,2011,2025,15,None,400,0.07393901140795985,0.0739504407444112,0.06048164122142873,0.06048164122142873,0.08660435869299427,0.95,6000,1,0.00016666666666666666,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,Se,ST,2011,2025,15,None,400,0.07622305652021968,0.0762713499288722,0.06324371671982634,0.06324371671982634,0.08869624535616809,0.95,6000,1,0.00016666666666666666,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
ML,saved_imputed_row_draws,Se,CT,2011,2025,15,None,2000,7.107974358030332,7.1073700178265335,6.331047868378145,6.331047868378145,7.953153943958516,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,Se,MT,2011,2025,15,None,2000,6.785553065866261,6.764120110336178,5.888254412108785,5.888254412108785,7.721747619886749,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,Se,ST,2011,2025,15,None,2000,5.830272206627496,5.818769751127778,5.160030892196427,5.160030892196427,6.521970153622916,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
