method,sensitivity_variant,analyte,reference_treatment,comparison_treatment,n_aligned_draws,n_finite_absolute_difference_draws,n_valid_percent_draws,fraction_valid_percent_draws,n_invalid_missing_or_nonfinite_ct_draws,n_invalid_zero_ct_draws,n_invalid_negative_ct_draws,n_invalid_tiny_positive_ct_draws,ct_tiny_threshold_kg,mean_absolute_difference_kg,median_absolute_difference_kg,lower_95_absolute_difference_kg,upper_95_absolute_difference_kg,mean_percent_difference_relative_to_ct,median_percent_difference_relative_to_ct,lower_95_percent_difference_relative_to_ct,upper_95_percent_difference_relative_to_ct,probability_treatment_load_lower_than_ct,percent_difference_formula,provisional_qc_flag,provisional_qc_reason
Bayes,annual_draw_truncation,TKN,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,6.867930536932919,6.778598769763434,3.765612807748934,10.222024978230621,27.266335527588357,27.445327336192733,15.772825583932867,37.32115100162854,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,TKN,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,7.164399691262833,7.124533197185249,3.361521517730005,10.92008728661675,31.279094134052755,31.641873536221944,17.588248911521376,43.68829755952153,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,TKN,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,6.169618846139783,6.12521114910546,2.83336492288585,9.591071673928443,26.865670386259055,26.890332602106945,14.05402052534295,38.41579037327288,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,TKN,CT,MT,2000,2000,2000,1.0,0,0,0,0,1e-12,7.905003455048978,8.022731261357839,1.912987537249598,13.63433186518315,23.997209368574705,24.894166794121343,6.247251569461776,38.21388994647877,0.996,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,TKN,CT,ST,2000,2000,2000,1.0,0,0,0,0,1e-12,9.946195086466949,9.88606374231457,3.812578895749597,16.099606093828317,30.305783231114262,30.76906568696269,12.724914433114842,45.451316211638925,1.0,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,TN,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,17.766932378550823,17.578346875255427,8.169191967156403,28.996426023375015,19.339682945061796,19.309095502361373,10.107853851207432,30.459425337110737,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,TN,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,16.255341932616037,16.05938973355967,7.448615807921231,26.453136664785866,17.57166110281229,17.477556440294975,9.441668215109177,25.751175126127084,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,TN,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,17.839866134376447,17.61813030507468,8.014726562061707,29.1825247212037,19.559313481803766,19.377130195008924,10.107853851207432,31.00027380212213,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,TN,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,16.326992575684457,16.12265980603722,7.415996263582412,26.96607508149673,17.772116906858415,17.55618147821584,9.441668215109177,26.284378835696312,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,TN,CT,MT,2000,2000,2000,1.0,0,0,0,0,1e-12,15.76474765534919,15.777953000114032,10.864259347028478,20.652576998095824,31.060143345097252,31.19763213801007,22.33284747936679,39.09102232469408,1.0,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,TN,CT,ST,2000,2000,2000,1.0,0,0,0,0,1e-12,19.044545315092158,19.02178764292143,14.735171705224811,23.61363282739053,37.54850491136895,37.580430692114106,30.69665291081683,44.139066818676206,1.0,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,TP,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,2.18663489284515,2.1738440398113266,-0.28482470643101276,5.492195489410484,15.837037029761127,16.573908823682324,-2.6078632838354507,33.36924795958977,0.9175,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,TP,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,2.13207157559394,2.147424490416184,-0.511456073399859,5.210948073729419,15.43709233613317,16.742572686381717,-4.678833650325021,32.7073421687489,0.935,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,TP,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,2.118796973310465,2.1255966867854115,-1.0326695211960284,5.786529360291649,15.877846486574976,17.109653483587145,-11.291117059849133,37.61345265684637,0.875,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,TP,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,2.187935292305857,2.311340330185377,-0.9342199630085201,5.516802736311638,16.612036719519985,18.422654984237433,-9.610877841253066,35.446428564064774,0.895,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,TP,CT,MT,2000,2000,2000,1.0,0,0,0,0,1e-12,-8.45920761455231,-8.237833859917684,-16.369344835769738,-2.2589164269835833,-62.84641063143319,-60.90702972281437,-121.63790873176019,-16.478959904262883,0.0,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,TP,CT,ST,2000,2000,2000,1.0,0,0,0,0,1e-12,-3.447839962858651,-3.2902180305540893,-6.834458899807558,-0.7530688863775515,-25.71542149963469,-24.727416547908945,-51.554156961283596,-5.344320010767891,0.004,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,TSS,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,4827.125022882973,4658.06843325223,1742.2598025718567,8526.144995078,26.175091501989556,25.812895139563295,11.326800909656518,39.75253684208736,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,TSS,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,4010.279787448137,3916.2534576331846,1192.4069438982224,7377.711825369289,21.645252366852954,22.133321286132663,7.760060001794489,33.59675319670991,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,TSS,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,5339.12056260917,5191.193971146942,2607.382007140143,8862.636131680547,29.43938944525715,29.26847739356308,15.949531352667154,42.44750678528939,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,TSS,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,4401.884125557346,4309.0653304312755,1894.9438919567167,7429.438957927455,24.17115784225471,24.46295000168041,11.253948193386606,35.29771501007886,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,TSS,CT,MT,2000,2000,2000,1.0,0,0,0,0,1e-12,-239.7330528780469,-95.07293303566803,-5650.47463345566,3844.827085260918,-1.37805268225098,-0.5302325528855022,-30.973267451925587,20.61098376238486,0.4875,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,TSS,CT,ST,2000,2000,2000,1.0,0,0,0,0,1e-12,820.2580400693145,863.4381113238142,-1406.5670361496707,2708.184042109381,4.3161985379379075,4.677027580069012,-7.7565928231987,13.902476699001866,0.7885,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
